,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,0.86,0,1,0,0.93,0,0.46,0.86
11,0.84,0,1,0,0.91,0,0.46,0.84
12,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
average,0.9769230769,0.8461538462,1,0.8461538462,0.9876923077,0.8461538462,0.9169230769,0.9769230769
dev,0.06084256883,0.4045199175,0,0.4045199175,0.03266914029,0.4045199175,0.2184407554,0.06084256883
