,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,0.98,0,1,0,0.99,0,0.49,0.98
2,0.99,0,1,0,0.99,0,0.5,0.99
3,1,1,1,1,1,1,1,1
4,1,N/A,1,N/A,1,N/A,1,1
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
average,0.9972727273,0.8,1,0.8,0.9981818182,0.8,0.9081818182,0.9972727273
dev,0.006466697907,0.4216370214,0,0.4216370214,0.004045199175,0.4216370214,0.2042947959,0.006466697907
