,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1
15,0.97,0,1,0,0.99,0,0.49,0.97
16,0.98,0,1,0,0.99,0,0.49,0.98
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
average,0.9972222222,0.8888888889,1,0.8888888889,0.9988888889,0.8888888889,0.9433333333,0.9972222222
dev,0.008264420947,0.3233808334,0,0.3233808334,0.003233808334,0.3233808334,0.164924225,0.008264420947
