,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1
13,0.92,0,1,0,0.96,0,0.48,0.92
14,0.93,0.38,0.99,0.1,0.96,0.15,0.56,0.92
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
average,0.9916666667,0.91,0.9994444444,0.8944444444,0.9955555556,0.8972222222,0.9466666667,0.9911111111
dev,0.02431412081,0.2699237365,0.002357022604,0.3076901081,0.01293523334,0.3002313922,0.1558279594,0.02587046667
