,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1
13,0.78,0,1,0,0.87,0,0.44,0.78
14,0.9,0,1,0,0.95,0,0.47,0.9
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
average,0.9822222222,0.8888888889,1,0.8888888889,0.99,0.8888888889,0.9394444444,0.9822222222
dev,0.05568351277,0.3233808334,0,0.3233808334,0.03217598666,0.3233808334,0.1763176352,0.05568351277
