,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,1,1,1,0.73,1,0.84,0.92,1
12,1,1,1,0.82,1,0.9,0.95,1
13,0.88,0,1,0,0.94,0,0.47,0.88
14,0.91,0,1,0,0.95,0,0.48,0.91
15,1,0.35,0.93,1,0.96,0.52,0.74,0.94
16,1,1,1,0.92,1,0.96,0.98,1
17,0.99,1,1,0.78,1,0.88,0.94,0.99
18,1,1,1,0.93,1,0.96,0.98,1
average,0.9877777778,0.8527777778,0.9961111111,0.8433333333,0.9916666667,0.8366666667,0.9144444444,0.9844444444
dev,0.03422341056,0.3457609775,0.01649915823,0.3183782434,0.01947849493,0.3257028599,0.1715747898,0.03584644083
