,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1
13,0.88,0,1,0,0.94,0,0.47,0.88
14,0.9,0,1,0,0.95,0,0.47,0.9
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
average,0.9877777778,0.8888888889,1,0.8888888889,0.9938888889,0.8888888889,0.9411111111,0.9877777778
dev,0.03573687428,0.3233808334,0,0.3233808334,0.01786843714,0.3233808334,0.1713918417,0.03573687428
