corn_date,corn_time,corn_open,corn_high,corn_low,corn_close,corn_volume,predict
2021-12-21,06:00:00,591.5,589.75,589.5,592.0,2246,0
2021-12-21,07:00:00,589.75,591.0,589.75,591.25,1264,0
2021-12-21,08:00:00,592.0,594.5,591.25,595.0,12161,1
2021-12-21,09:00:00,594.5,596.0,593.25,597.0,18904,1
2021-12-21,10:00:00,596.0,597.0,595.5,598.5,15755,1
2021-12-21,11:00:00,597.25,597.5,595.5,597.75,9878,0
2021-12-21,12:00:00,597.75,598.0,597.25,599.0,13432,1
2021-12-21,13:00:00,598.0,598.0,597.75,599.0,7673,1
2021-12-21,19:00:00,597.5,598.5,597.0,598.5,3598,0
2021-12-21,20:00:00,598.5,598.25,598.0,598.75,567,0
2021-12-21,21:00:00,598.5,598.25,598.0,599.0,486,1
2021-12-21,22:00:00,598.25,598.75,598.0,598.75,317,0
2021-12-21,23:00:00,598.5,599.0,598.5,599.0,504,0
2021-12-22,00:00:00,599.0,598.75,598.5,599.0,332,1
2021-12-22,01:00:00,599.0,601.5,599.0,601.5,5707,1
2021-12-22,02:00:00,601.5,600.0,598.5,601.5,2506,1
2021-12-22,03:00:00,599.75,601.0,599.5,601.25,1365,1
2021-12-22,04:00:00,601.0,602.75,601.0,603.0,5658,1
2021-12-22,05:00:00,602.75,601.25,601.0,603.0,1520,1
2021-12-22,06:00:00,601.5,602.0,601.0,602.25,2630,0
2021-12-22,07:00:00,602.0,603.5,602.0,604.5,6383,1
2021-12-22,08:00:00,603.25,603.75,602.5,606.75,23362,1
2021-12-22,09:00:00,603.75,601.25,601.25,605.0,20085,0
2021-12-22,10:00:00,601.25,599.25,599.0,602.5,15490,0
2021-12-22,11:00:00,599.5,601.5,599.5,602.0,9253,0
2021-12-22,12:00:00,601.25,602.0,601.0,602.75,10492,0
2021-12-22,13:00:00,602.0,602.5,601.75,603.5,10235,1
2021-12-22,19:00:00,601.25,603.0,600.5,603.0,3093,0
2021-12-22,20:00:00,602.75,603.75,602.5,604.0,1618,0
2021-12-22,21:00:00,603.75,604.0,603.25,604.25,731,1
2021-12-22,22:00:00,604.0,604.0,603.0,604.0,737,0
2021-12-22,23:00:00,604.0,604.5,603.75,604.75,714,1
2021-12-23,00:00:00,604.75,605.0,604.75,605.75,1216,1
2021-12-23,01:00:00,605.0,605.75,604.5,606.0,915,1
2021-12-23,02:00:00,605.5,604.5,604.5,605.5,770,0
2021-12-23,03:00:00,604.5,605.25,604.5,605.5,1272,0
2021-12-23,04:00:00,605.25,604.0,603.5,605.5,1592,1
2021-12-23,05:00:00,603.75,602.75,602.5,604.25,1109,0
2021-12-23,06:00:00,602.75,602.75,602.25,603.5,1629,0
2021-12-23,07:00:00,602.75,602.0,601.5,603.25,2028,0
2021-12-23,08:00:00,602.0,603.75,601.5,604.5,12751,1
2021-12-23,09:00:00,604.0,603.25,602.25,606.25,17038,1
2021-12-23,10:00:00,603.25,604.5,603.0,605.0,8838,0
2021-12-23,11:00:00,604.75,603.75,603.5,605.5,7102,0
2021-12-23,12:00:00,603.75,605.25,603.5,605.5,8605,0
2021-12-23,13:00:00,605.25,606.75,605.0,607.0,12577,1
2021-12-26,19:00:00,608.25,609.0,607.0,609.75,7067,1
2021-12-26,20:00:00,609.25,609.75,608.5,609.75,927,1
2021-12-26,21:00:00,609.75,609.5,609.25,610.0,909,1
2021-12-26,22:00:00,609.5,609.5,609.0,609.75,759,1
2021-12-26,23:00:00,609.5,609.25,609.25,609.75,738,1
2021-12-27,00:00:00,609.25,608.25,608.25,609.5,779,0
2021-12-27,01:00:00,608.25,608.25,607.5,608.75,811,0
2021-12-27,02:00:00,608.25,609.75,608.0,609.75,1038,1
2021-12-27,03:00:00,609.75,611.5,609.25,611.75,2686,1
2021-12-27,04:00:00,611.75,610.75,610.75,612.0,1204,1
2021-12-27,05:00:00,611.0,611.5,611.0,612.5,1825,1
2021-12-27,06:00:00,611.75,613.25,611.5,614.75,4295,1
2021-12-27,07:00:00,613.25,612.25,611.5,613.25,2956,0
2021-12-27,08:00:00,612.75,610.75,609.0,613.75,12966,0
2021-12-27,09:00:00,610.75,613.0,608.5,613.25,12694,0
2021-12-27,10:00:00,613.0,613.25,611.25,613.5,8547,0
2021-12-27,11:00:00,613.25,612.25,611.75,614.5,10637,1
2021-12-27,12:00:00,612.25,614.25,612.25,615.0,10645,1
2021-12-27,13:00:00,614.5,614.5,613.75,615.5,12315,1
2021-12-27,19:00:00,614.25,615.75,613.25,616.0,4225,1
2021-12-27,20:00:00,615.75,615.25,615.0,616.0,807,1
2021-12-27,21:00:00,615.25,615.5,614.5,615.5,647,0
2021-12-27,22:00:00,615.5,615.25,615.25,615.75,400,0
2021-12-27,23:00:00,615.25,615.75,615.25,616.0,346,1
2021-12-28,00:00:00,615.75,616.25,615.5,616.25,726,1
2021-12-28,01:00:00,616.0,616.5,616.0,617.0,1104,1
2021-12-28,02:00:00,616.5,616.75,615.75,617.0,1121,1
2021-12-28,03:00:00,616.75,617.0,616.5,617.75,1254,1
2021-12-28,04:00:00,617.0,616.5,615.5,617.0,1515,0
2021-12-28,05:00:00,616.25,616.75,615.5,617.25,1261,0
2021-12-28,06:00:00,616.75,615.0,615.0,617.0,1697,0
2021-12-28,07:00:00,614.75,610.25,609.25,615.0,8206,0
2021-12-28,08:00:00,611.0,610.75,609.75,613.75,17008,0
2021-12-28,09:00:00,610.75,611.5,610.25,615.0,15972,0
2021-12-28,10:00:00,611.5,612.75,610.75,613.5,7256,0
2021-12-28,11:00:00,612.5,610.75,610.25,612.75,7383,0
2021-12-28,12:00:00,610.5,606.25,604.25,611.0,20839,0
2021-12-28,13:00:00,606.5,604.0,603.75,606.5,6500,0
2021-12-28,19:00:00,604.0,604.5,603.5,605.5,3649,0
2021-12-28,20:00:00,604.75,603.0,602.5,605.5,2724,0
2021-12-28,21:00:00,603.25,603.75,603.0,603.75,503,0
2021-12-28,22:00:00,603.75,602.75,602.5,603.75,426,0
2021-12-28,23:00:00,602.75,602.75,601.5,603.25,1099,0
2021-12-29,00:00:00,602.75,602.75,602.0,602.75,522,0
2021-12-29,01:00:00,602.75,603.0,602.25,603.0,660,0
2021-12-29,02:00:00,602.75,603.25,602.25,603.75,821,1
