mini_dow_date,mini_dow_time,mini_dow_open,mini_dow_high,mini_dow_low,mini_dow_close,mini_dow_volume,predict
2020-01-02,20:00:00,28806.0,28691.0,28648.0,28824.0,13342,0
2020-01-02,21:00:00,28691.0,28641.0,28605.0,28702.0,6783,0
2020-01-02,22:00:00,28642.0,28669.0,28636.0,28688.0,3054,0
2020-01-02,23:00:00,28669.0,28643.0,28614.0,28675.0,3847,0
2020-01-03,00:00:00,28642.0,28644.0,28619.0,28647.0,2230,0
2020-01-03,01:00:00,28644.0,28573.0,28564.0,28646.0,8021,0
2020-01-03,02:00:00,28573.0,28579.0,28527.0,28612.0,12541,0
2020-01-03,03:00:00,28579.0,28562.0,28536.0,28585.0,7905,0
2020-01-03,04:00:00,28562.0,28453.0,28431.0,28583.0,11413,0
2020-01-03,05:00:00,28453.0,28492.0,28448.0,28507.0,7982,0
2020-01-03,06:00:00,28493.0,28566.0,28484.0,28570.0,7190,0
2020-01-03,07:00:00,28566.0,28584.0,28565.0,28633.0,11318,0
2020-01-03,08:00:00,28585.0,28651.0,28494.0,28667.0,35440,0
2020-01-03,09:00:00,28650.0,28592.0,28572.0,28651.0,26184,0
2020-01-03,10:00:00,28591.0,28641.0,28551.0,28651.0,16246,0
2020-01-03,11:00:00,28641.0,28662.0,28640.0,28685.0,11553,0
2020-01-03,12:00:00,28663.0,28616.0,28569.0,28677.0,13713,0
2020-01-03,13:00:00,28616.0,28656.0,28592.0,28660.0,9815,0
2020-01-03,14:00:00,28655.0,28615.0,28588.0,28680.0,20582,0
2020-01-03,15:00:00,28614.0,28600.0,28587.0,28627.0,7113,0
2020-01-03,16:00:00,28600.0,28603.0,28599.0,28604.0,11,0
2020-01-05,17:00:00,28494.0,28498.0,28446.0,28504.0,6755,0
2020-01-05,18:00:00,28499.0,28495.0,28472.0,28509.0,4932,0
2020-01-05,19:00:00,28495.0,28466.0,28461.0,28495.0,3713,0
2020-01-05,20:00:00,28466.0,28473.0,28462.0,28487.0,2318,0
2020-01-05,21:00:00,28474.0,28496.0,28473.0,28504.0,2209,0
2020-01-05,22:00:00,28498.0,28526.0,28492.0,28540.0,2643,0
2020-01-05,23:00:00,28527.0,28515.0,28503.0,28533.0,1913,0
2020-01-06,00:00:00,28515.0,28486.0,28464.0,28516.0,2805,0
2020-01-06,01:00:00,28485.0,28484.0,28473.0,28525.0,5434,0
2020-01-06,02:00:00,28483.0,28357.0,28351.0,28499.0,14635,0
2020-01-06,03:00:00,28357.0,28417.0,28351.0,28421.0,9598,0
2020-01-06,04:00:00,28417.0,28433.0,28408.0,28443.0,4766,0
2020-01-06,05:00:00,28432.0,28424.0,28410.0,28437.0,5888,0
2020-01-06,06:00:00,28423.0,28456.0,28422.0,28480.0,6852,0
2020-01-06,07:00:00,28456.0,28422.0,28407.0,28460.0,7352,0
2020-01-06,08:00:00,28422.0,28482.0,28384.0,28492.0,30988,0
2020-01-06,09:00:00,28482.0,28518.0,28460.0,28537.0,25331,0
2020-01-06,10:00:00,28519.0,28538.0,28503.0,28568.0,18250,0
2020-01-06,11:00:00,28538.0,28550.0,28529.0,28564.0,10085,0
2020-01-06,12:00:00,28550.0,28598.0,28545.0,28602.0,9724,0
2020-01-06,13:00:00,28598.0,28596.0,28582.0,28631.0,12921,0
2020-01-06,14:00:00,28596.0,28660.0,28574.0,28660.0,19360,0
2020-01-06,15:00:00,28659.0,28630.0,28628.0,28700.0,10166,0
2020-01-06,16:00:00,28630.0,28627.0,28626.0,28630.0,28,0
2020-01-06,17:00:00,28636.0,28616.0,28616.0,28647.0,1727,0
2020-01-06,18:00:00,28616.0,28667.0,28616.0,28682.0,3406,0
2020-01-06,19:00:00,28666.0,28679.0,28647.0,28686.0,3016,0
2020-01-06,20:00:00,28679.0,28682.0,28673.0,28699.0,2589,0
2020-01-06,21:00:00,28682.0,28683.0,28673.0,28685.0,1181,0
2020-01-06,22:00:00,28682.0,28725.0,28682.0,28732.0,3030,0
2020-01-06,23:00:00,28725.0,28702.0,28694.0,28726.0,1727,0
2020-01-07,00:00:00,28702.0,28684.0,28664.0,28708.0,2443,0
2020-01-07,01:00:00,28684.0,28652.0,28636.0,28719.0,6899,0
2020-01-07,02:00:00,28651.0,28700.0,28644.0,28739.0,9856,0
2020-01-07,03:00:00,28701.0,28676.0,28651.0,28705.0,5060,0
2020-01-07,04:00:00,28676.0,28673.0,28654.0,28694.0,3780,0
2020-01-07,05:00:00,28673.0,28646.0,28641.0,28687.0,3807,0
2020-01-07,06:00:00,28647.0,28672.0,28644.0,28677.0,3143,0
2020-01-07,07:00:00,28672.0,28606.0,28604.0,28676.0,7656,0
2020-01-07,08:00:00,28607.0,28563.0,28529.0,28623.0,34808,0
2020-01-07,09:00:00,28563.0,28630.0,28555.0,28632.0,33713,0
2020-01-07,10:00:00,28630.0,28558.0,28555.0,28648.0,17534,0
2020-01-07,11:00:00,28557.0,28557.0,28539.0,28576.0,11591,0
2020-01-07,12:00:00,28556.0,28565.0,28545.0,28576.0,7158,0
2020-01-07,13:00:00,28564.0,28567.0,28544.0,28571.0,8742,0
2020-01-07,14:00:00,28567.0,28543.0,28538.0,28600.0,13783,0
2020-01-07,15:00:00,28543.0,28503.0,28446.0,28549.0,9552,0
2020-01-07,16:00:00,28503.0,28502.0,28500.0,28507.0,29,0
2020-01-07,17:00:00,28502.0,28271.0,28206.0,28514.0,21769,0
2020-01-07,18:00:00,28271.0,28167.0,28084.0,28275.0,26322,0
2020-01-07,19:00:00,28167.0,28271.0,28149.0,28341.0,19426,0
2020-01-07,20:00:00,28274.0,28458.0,28270.0,28469.0,19299,0
2020-01-07,21:00:00,28459.0,28377.0,28335.0,28460.0,12153,0
2020-01-07,22:00:00,28378.0,28348.0,28347.0,28400.0,3163,0
2020-01-07,23:00:00,28347.0,28322.0,28317.0,28369.0,4387,0
2020-01-08,00:00:00,28323.0,28357.0,28321.0,28371.0,4598,0
2020-01-08,01:00:00,28358.0,28411.0,28358.0,28451.0,9196,0
2020-01-08,02:00:00,28411.0,28425.0,28399.0,28449.0,10687,0
2020-01-08,03:00:00,28424.0,28452.0,28410.0,28463.0,6826,0
2020-01-08,04:00:00,28452.0,28523.0,28428.0,28535.0,7446,0
2020-01-08,05:00:00,28523.0,28529.0,28497.0,28559.0,7614,0
2020-01-08,06:00:00,28529.0,28538.0,28491.0,28548.0,7684,0
2020-01-08,07:00:00,28539.0,28500.0,28485.0,28564.0,10093,0
2020-01-08,08:00:00,28500.0,28571.0,28477.0,28589.0,30627,0
2020-01-08,09:00:00,28570.0,28585.0,28536.0,28618.0,27257,0
2020-01-08,10:00:00,28585.0,28743.0,28569.0,28778.0,38033,0
2020-01-08,11:00:00,28743.0,28759.0,28731.0,28771.0,17296,0
2020-01-08,12:00:00,28759.0,28727.0,28723.0,28760.0,9423,0
2020-01-08,13:00:00,28727.0,28785.0,28725.0,28786.0,9730,0
2020-01-08,14:00:00,28785.0,28711.0,28702.0,28833.0,25470,0
2020-01-08,15:00:00,28712.0,28769.0,28705.0,28783.0,6734,0
2020-01-08,16:00:00,28767.0,28763.0,28763.0,28769.0,35,0
2020-01-08,17:00:00,28772.0,28778.0,28756.0,28808.0,2940,0
2020-01-08,18:00:00,28779.0,28786.0,28764.0,28814.0,3484,0
2020-01-08,19:00:00,28786.0,28794.0,28782.0,28801.0,2284,0
2020-01-08,20:00:00,28794.0,28780.0,28778.0,28798.0,1399,0
2020-01-08,21:00:00,28780.0,28779.0,28745.0,28784.0,1904,0
2020-01-08,22:00:00,28780.0,28794.0,28775.0,28800.0,1076,0
2020-01-08,23:00:00,28795.0,28816.0,28793.0,28831.0,2122,0
2020-01-09,00:00:00,28816.0,28819.0,28813.0,28828.0,1480,0
2020-01-09,01:00:00,28819.0,28882.0,28808.0,28883.0,5622,0
2020-01-09,02:00:00,28882.0,28863.0,28844.0,28886.0,6248,0
2020-01-09,03:00:00,28863.0,28851.0,28838.0,28870.0,3994,0
2020-01-09,04:00:00,28852.0,28849.0,28839.0,28869.0,3325,0
2020-01-09,05:00:00,28849.0,28869.0,28848.0,28875.0,2534,0
2020-01-09,06:00:00,28869.0,28849.0,28834.0,28885.0,5452,0
2020-01-09,07:00:00,28849.0,28873.0,28839.0,28885.0,5074,0
2020-01-09,08:00:00,28872.0,28834.0,28818.0,28891.0,30024,0
2020-01-09,09:00:00,28835.0,28897.0,28809.0,28899.0,22257,0
2020-01-09,10:00:00,28897.0,28943.0,28877.0,28947.0,19091,0
