mini_nasdaq_date,mini_nasdaq_time,mini_nasdaq_open,mini_nasdaq_high,mini_nasdaq_low,mini_nasdaq_close,mini_nasdaq_volume,predict
2019-12-26,02:00:00,8740.75,8737.75,8736.0,8740.75,1801,0
2019-12-26,03:00:00,8738.0,8741.0,8736.75,8741.75,2061,0
2019-12-26,04:00:00,8741.0,8740.5,8739.0,8741.75,1589,0
2019-12-26,05:00:00,8740.75,8739.75,8739.0,8743.0,1100,0
2019-12-26,06:00:00,8740.0,8740.25,8737.25,8740.5,1059,0
2019-12-26,07:00:00,8740.25,8743.75,8737.25,8750.0,4353,0
2019-12-26,08:00:00,8744.0,8755.75,8739.0,8761.0,23781,0
2019-12-26,09:00:00,8755.75,8767.5,8754.75,8769.0,19354,0
2019-12-26,10:00:00,8767.5,8778.5,8767.0,8780.5,18685,0
2019-12-26,11:00:00,8778.5,8775.5,8766.75,8778.75,14944,0
2019-12-26,12:00:00,8775.5,8789.5,8775.25,8791.0,16269,0
2019-12-26,13:00:00,8789.75,8786.75,8785.0,8792.0,9780,0
2019-12-26,14:00:00,8786.75,8794.5,8779.25,8795.5,23970,0
2019-12-26,15:00:00,8794.5,8802.0,8794.25,8805.0,16215,0
2019-12-26,16:00:00,8801.75,8802.25,8801.5,8803.75,143,0
2019-12-26,17:00:00,8801.0,8808.75,8800.25,8809.75,2785,0
2019-12-26,18:00:00,8808.25,8820.25,8806.75,8821.5,4386,0
2019-12-26,19:00:00,8820.5,8829.0,8818.0,8829.5,4826,0
2019-12-26,20:00:00,8828.75,8830.0,8827.75,8832.25,3146,0
2019-12-26,21:00:00,8830.0,8831.25,8828.75,8834.0,2922,0
2019-12-26,22:00:00,8831.5,8827.25,8826.25,8832.25,1904,0
2019-12-26,23:00:00,8827.25,8825.75,8823.5,8828.75,1764,0
2019-12-27,00:00:00,8825.75,8824.0,8821.5,8827.5,2585,0
2019-12-27,01:00:00,8824.25,8826.5,8821.75,8827.5,3532,0
2019-12-27,02:00:00,8826.25,8830.25,8824.25,8833.5,7076,0
2019-12-27,03:00:00,8830.25,8826.5,8823.75,8830.5,3244,0
2019-12-27,04:00:00,8826.25,8837.25,8825.5,8840.75,5406,0
2019-12-27,05:00:00,8837.0,8837.25,8832.75,8842.5,4686,0
2019-12-27,06:00:00,8837.25,8836.0,8833.75,8842.0,4484,0
2019-12-27,07:00:00,8836.25,8833.25,8833.25,8843.5,6390,0
2019-12-27,08:00:00,8833.25,8787.25,8786.0,8837.0,59887,0
2019-12-27,09:00:00,8787.5,8810.5,8780.0,8812.75,55829,0
2019-12-27,10:00:00,8810.5,8810.75,8808.75,8820.25,27945,0
2019-12-27,11:00:00,8811.0,8803.5,8795.75,8813.75,26648,0
2019-12-27,12:00:00,8803.5,8796.25,8787.0,8807.75,22065,0
2019-12-27,13:00:00,8796.25,8805.75,8792.25,8808.0,17902,0
2019-12-27,14:00:00,8806.0,8791.75,8769.0,8807.25,38278,0
2019-12-27,15:00:00,8791.5,8779.5,8777.5,8794.25,13945,0
2019-12-27,16:00:00,8779.25,8779.25,8778.25,8779.5,105,0
2019-12-29,17:00:00,8783.5,8797.75,8783.0,8799.5,4545,0
2019-12-29,18:00:00,8797.75,8797.0,8793.5,8801.75,5613,0
2019-12-29,19:00:00,8797.0,8804.0,8796.25,8804.0,2529,0
2019-12-29,20:00:00,8803.75,8804.75,8802.25,8804.75,1765,0
2019-12-29,21:00:00,8804.5,8807.75,8804.25,8809.75,2337,0
2019-12-29,22:00:00,8807.75,8808.75,8805.0,8809.5,1340,0
2019-12-29,23:00:00,8809.0,8805.5,8803.25,8809.75,1967,0
2019-12-30,00:00:00,8805.75,8801.25,8800.25,8806.0,1788,0
2019-12-30,01:00:00,8801.5,8795.5,8794.0,8805.0,3116,0
2019-12-30,02:00:00,8795.5,8803.25,8794.5,8806.25,7096,0
