mini_sp_date,mini_sp_time,mini_sp_open,mini_sp_high,mini_sp_low,mini_sp_close,mini_sp_volume,predict
2019-10-23,05:00:00,2992.25,2988.5,2986.5,2997.5,29447,1
2019-10-23,06:00:00,2988.25,2988.75,2983.75,2990.0,35095,0
2019-10-23,07:00:00,2988.75,2991.5,2987.5,2993.25,23904,0
2019-10-23,08:00:00,2991.5,2996.5,2989.75,2998.75,135871,1
2019-10-23,09:00:00,2996.25,2999.25,2992.5,3000.5,152935,1
2019-10-23,10:00:00,2999.25,2999.75,2998.5,3002.5,103457,1
2019-10-23,11:00:00,2999.75,2998.5,2997.0,3001.0,65650,0
2019-10-23,12:00:00,2998.5,2997.75,2996.25,3000.0,43742,0
2019-10-23,13:00:00,2997.75,2995.5,2992.5,2998.0,69680,0
2019-10-23,14:00:00,2995.5,3002.75,2994.25,3003.0,124208,1
2019-10-23,15:00:00,3002.75,3006.0,3002.75,3006.0,103732,1
2019-10-23,16:00:00,3005.75,3006.0,3005.75,3006.0,825,1
2019-10-23,17:00:00,3006.0,3007.25,3006.0,3010.0,7657,1
2019-10-23,18:00:00,3007.25,3006.5,3006.25,3008.25,3600,1
2019-10-23,19:00:00,3006.5,3006.0,3004.75,3006.75,5467,0
2019-10-23,23:00:00,3005.75,3005.0,3005.0,3006.25,1363,0
2019-10-24,00:00:00,3005.0,3005.0,3003.25,3005.75,4714,0
2019-10-24,01:00:00,3005.0,3008.25,3004.25,3008.5,8341,1
2019-10-24,02:00:00,3008.25,3009.25,3006.0,3012.25,32195,1
2019-10-24,03:00:00,3009.25,3008.25,3003.0,3009.25,17522,0
2019-10-24,04:00:00,3008.25,3008.25,3007.25,3009.5,9116,0
2019-10-24,05:00:00,3008.5,3009.5,3008.0,3010.0,9899,0
2019-10-24,06:00:00,3009.5,3012.0,3008.5,3012.25,16755,0
2019-10-24,07:00:00,3012.0,3011.5,3009.5,3013.0,21298,1
2019-10-24,08:00:00,3011.25,3004.0,3002.5,3015.25,149605,1
2019-10-24,09:00:00,3004.0,3003.75,2998.75,3005.0,169941,0
2019-10-24,10:00:00,3003.75,3010.25,3003.25,3011.75,133760,0
2019-10-24,11:00:00,3010.0,3005.5,2999.75,3011.75,133459,1
2019-10-24,12:00:00,3005.5,3001.5,3000.25,3006.0,64579,0
2019-10-24,13:00:00,3001.5,3005.75,3001.0,3006.75,45470,0
2019-10-24,14:00:00,3006.0,3009.75,3005.5,3011.0,87498,1
2019-10-24,15:00:00,3009.5,3002.25,3002.0,3010.75,93734,1
2019-10-24,16:00:00,3002.25,3002.75,3002.25,3003.0,234,0
2019-10-24,17:00:00,3003.75,3003.0,3002.0,3004.5,4991,0
2019-10-24,18:00:00,3003.0,3001.75,3000.0,3004.0,3890,0
2019-10-24,19:00:00,3001.75,3004.75,3001.0,3006.0,9041,1
2019-10-24,20:00:00,3004.75,3003.0,3001.0,3005.75,8189,0
2019-10-24,21:00:00,3003.0,3004.0,3001.75,3004.75,5453,0
2019-10-24,22:00:00,3004.0,3004.25,3003.25,3004.5,2192,0
2019-10-24,23:00:00,3004.25,3004.75,3003.0,3005.0,3004,0
2019-10-25,00:00:00,3004.75,3006.75,3004.0,3007.25,4727,0
2019-10-25,01:00:00,3006.5,3007.75,3006.25,3008.0,6952,0
2019-10-25,02:00:00,3007.5,3005.25,3005.0,3009.75,15838,1
2019-10-25,03:00:00,3005.5,3005.25,3004.25,3007.0,10428,0
2019-10-25,04:00:00,3005.25,3006.75,3004.5,3007.5,9449,0
2019-10-25,05:00:00,3006.5,3008.0,3006.25,3008.25,6743,0
2019-10-25,06:00:00,3008.25,3005.75,3005.75,3008.25,8035,0
2019-10-25,07:00:00,3005.75,3002.75,3000.75,3006.0,18982,0
2019-10-25,08:00:00,3002.75,3008.25,3000.0,3009.0,116609,1
2019-10-25,09:00:00,3008.0,3017.25,3007.0,3018.25,174679,1
2019-10-25,10:00:00,3017.5,3024.5,3016.25,3026.5,186322,1
2019-10-25,11:00:00,3024.5,3022.25,3020.0,3025.25,84426,1
2019-10-25,12:00:00,3022.25,3022.25,3020.5,3023.75,55635,1
2019-10-25,13:00:00,3022.25,3021.75,3016.75,3022.75,78612,0
2019-10-25,14:00:00,3021.75,3022.0,3019.0,3022.75,126208,0
2019-10-25,15:00:00,3022.0,3020.5,3018.5,3022.75,118580,1
2019-10-25,16:00:00,3020.25,3019.75,3019.25,3020.5,338,0
2019-10-27,17:00:00,3023.0,3024.25,3022.75,3026.0,7408,1
2019-10-27,18:00:00,3024.25,3024.25,3023.75,3025.25,3068,1
2019-10-27,19:00:00,3024.0,3024.75,3023.25,3026.25,5535,1
2019-10-27,20:00:00,3024.75,3024.5,3022.75,3025.25,6904,0
2019-10-27,21:00:00,3024.5,3024.75,3024.0,3026.0,5018,1
2019-10-27,22:00:00,3024.75,3025.25,3024.5,3025.75,2761,0
2019-10-27,23:00:00,3025.0,3026.25,3024.75,3026.25,2525,0
2019-10-28,00:00:00,3026.0,3025.25,3024.0,3026.25,3975,0
2019-10-28,01:00:00,3025.0,3025.25,3024.0,3025.5,2813,0
2019-10-28,02:00:00,3025.0,3025.75,3024.0,3027.25,8094,1
2019-10-28,03:00:00,3026.0,3025.5,3024.75,3029.0,21609,1
2019-10-28,04:00:00,3025.5,3025.5,3024.25,3026.0,7981,0
2019-10-28,05:00:00,3025.25,3026.75,3025.0,3027.5,10661,0
2019-10-28,06:00:00,3026.75,3028.75,3026.5,3029.5,9687,0
2019-10-28,07:00:00,3028.5,3033.5,3027.75,3034.0,31585,1
2019-10-28,08:00:00,3033.25,3038.75,3031.75,3040.75,178380,1
2019-10-28,09:00:00,3038.75,3038.25,3037.0,3042.75,139315,1
2019-10-28,10:00:00,3038.0,3036.75,3034.5,3038.75,115531,0
2019-10-28,11:00:00,3037.0,3036.0,3035.5,3039.5,74414,0
2019-10-28,12:00:00,3036.0,3037.5,3035.75,3039.5,70267,0
2019-10-28,13:00:00,3037.5,3039.0,3037.25,3040.25,65664,1
2019-10-28,14:00:00,3039.25,3038.0,3037.0,3041.0,109051,1
2019-10-28,15:00:00,3037.75,3037.0,3035.0,3039.75,114081,0
2019-10-28,16:00:00,3036.75,3037.0,3036.75,3037.5,380,0
