soybean_date,soybean_time,soybean_open,soybean_high,soybean_low,soybean_close,soybean_volume,predict
2021-09-14,12:00:00,1284.0,1283.25,1281.0,1285.0,4890,-1
2021-09-14,13:00:00,1283.0,1282.0,1281.75,1284.0,3671,-1
2021-09-14,19:00:00,1283.5,1288.5,1280.5,1289.0,2257,0
2021-09-14,20:00:00,1288.5,1286.75,1285.5,1288.75,845,0
2021-09-14,21:00:00,1286.5,1287.0,1285.25,1289.5,434,0
2021-09-14,22:00:00,1287.25,1288.75,1287.25,1289.75,379,0
2021-09-14,23:00:00,1288.5,1289.5,1287.75,1290.0,385,0
2021-09-15,00:00:00,1289.5,1288.0,1288.0,1290.25,475,0
2021-09-15,01:00:00,1288.25,1289.25,1287.0,1290.0,1084,0
2021-09-15,02:00:00,1289.5,1288.25,1287.25,1291.0,1188,0
2021-09-15,03:00:00,1288.0,1290.25,1287.25,1290.5,747,0
2021-09-15,04:00:00,1290.5,1292.25,1290.25,1292.75,953,0
2021-09-15,05:00:00,1292.25,1290.5,1289.5,1293.0,880,0
2021-09-15,06:00:00,1290.25,1290.75,1288.5,1292.25,1139,0
2021-09-15,07:00:00,1290.75,1290.5,1288.25,1291.5,1510,0
2021-09-15,08:00:00,1287.0,1285.25,1276.0,1287.5,19064,-1
2021-09-15,09:00:00,1285.5,1289.5,1285.5,1291.75,10199,0
2021-09-15,10:00:00,1289.5,1290.75,1285.0,1291.0,5837,0
2021-09-15,11:00:00,1290.5,1293.0,1287.25,1294.0,6644,0
2021-09-15,12:00:00,1293.0,1292.75,1291.75,1294.75,5777,0
2021-09-15,13:00:00,1293.0,1295.5,1292.0,1296.0,5317,0
2021-09-15,19:00:00,1296.5,1297.25,1294.75,1299.0,1775,0
2021-09-15,20:00:00,1297.5,1301.25,1295.0,1302.0,2628,0
2021-09-15,21:00:00,1301.25,1297.25,1296.25,1301.5,1004,0
2021-09-15,22:00:00,1297.25,1295.25,1295.25,1297.25,340,-1
2021-09-15,23:00:00,1295.5,1296.25,1295.25,1296.75,98,-1
2021-09-16,00:00:00,1296.0,1294.75,1293.25,1296.0,727,-1
2021-09-16,01:00:00,1294.75,1298.25,1293.25,1300.25,1147,0
2021-09-16,02:00:00,1298.0,1297.75,1296.25,1299.0,452,0
2021-09-16,03:00:00,1298.0,1300.25,1297.25,1301.5,936,0
2021-09-16,04:00:00,1300.5,1300.5,1299.75,1302.75,1046,0
2021-09-16,05:00:00,1300.25,1297.75,1297.5,1300.75,560,0
2021-09-16,06:00:00,1297.75,1301.25,1297.5,1301.5,793,0
2021-09-16,07:00:00,1301.75,1296.5,1296.5,1302.25,1781,0
2021-09-16,08:00:00,1297.75,1298.5,1296.0,1308.0,18541,0
2021-09-16,09:00:00,1298.75,1295.25,1291.25,1299.75,10147,-1
