tf_date,tf_time,tf_open,tf_high,tf_low,tf_close,tf_volume,predict
2021-07-14,09:00:00,1538.8,1544.2,1538.8,1547.2,268,0
2021-07-14,10:00:00,1544.0,1544.8,1542.0,1550.6,351,0
2021-07-14,11:00:00,1544.6,1545.8,1544.4,1547.2,86,-1
2021-07-14,12:00:00,1545.8,1545.0,1544.4,1546.8,71,-1
2021-07-14,13:00:00,1545.0,1545.8,1544.0,1547.6,121,0
2021-07-15,08:00:00,1546.6,1548.0,1546.6,1549.0,39,0
2021-07-15,09:00:00,1548.0,1556.0,1548.0,1559.6,335,0
2021-07-15,10:00:00,1555.2,1559.6,1555.2,1561.8,253,0
2021-07-15,11:00:00,1559.2,1559.0,1557.4,1561.2,107,0
2021-07-15,12:00:00,1559.2,1558.8,1558.2,1560.6,44,0
2021-07-15,13:00:00,1559.4,1558.2,1558.0,1560.8,151,0
2021-07-16,08:00:00,1552.6,1559.0,1549.0,1559.8,135,0
2021-07-16,09:00:00,1558.8,1570.8,1553.8,1571.0,527,0
2021-07-16,10:00:00,1570.0,1573.2,1569.2,1574.0,188,0
2021-07-16,11:00:00,1573.4,1577.6,1572.4,1579.8,229,0
2021-07-16,12:00:00,1577.8,1588.6,1575.0,1589.4,393,0
2021-07-16,13:00:00,1589.0,1591.6,1585.6,1591.8,385,0
2021-07-19,08:00:00,1582.6,1584.8,1581.0,1585.0,120,0
2021-07-19,09:00:00,1585.2,1582.6,1578.0,1598.0,874,0
2021-07-19,10:00:00,1582.0,1581.4,1579.0,1586.8,202,-1
2021-07-19,11:00:00,1581.6,1585.4,1581.2,1585.8,101,-1
2021-07-19,12:00:00,1586.0,1586.0,1583.4,1586.6,93,0
2021-07-19,13:00:00,1586.0,1587.8,1585.4,1589.6,195,0
2021-07-20,08:00:00,1576.2,1571.2,1571.0,1580.0,142,-1
2021-07-20,09:00:00,1571.2,1570.2,1564.2,1573.2,501,-1
2021-07-20,10:00:00,1570.2,1570.8,1568.0,1574.2,149,0
2021-07-20,11:00:00,1570.0,1564.6,1564.0,1571.8,126,-1
2021-07-20,12:00:00,1564.6,1562.4,1560.8,1566.8,192,0
2021-07-20,13:00:00,1562.2,1565.0,1560.0,1565.0,109,-1
2021-07-21,08:00:00,1569.2,1573.0,1568.0,1574.8,31,0
2021-07-21,09:00:00,1573.4,1567.4,1563.6,1574.8,292,0
2021-07-21,10:00:00,1568.6,1565.4,1564.4,1570.2,127,-1
2021-07-21,11:00:00,1564.8,1566.6,1563.4,1568.2,148,-1
2021-07-21,12:00:00,1565.2,1563.0,1561.2,1567.0,53,-1
2021-07-21,13:00:00,1565.0,1563.0,1561.2,1565.0,85,0
2021-07-22,08:00:00,1530.4,1532.0,1527.4,1532.0,163,-1
2021-07-22,09:00:00,1532.0,1542.4,1530.8,1545.0,810,-1
2021-07-22,10:00:00,1541.8,1547.4,1541.0,1550.0,547,0
2021-07-22,11:00:00,1547.4,1548.0,1545.4,1550.2,315,0
2021-07-22,12:00:00,1547.8,1548.0,1546.0,1549.8,138,0
2021-07-22,13:00:00,1547.4,1546.2,1544.2,1548.2,164,0
2021-07-23,08:00:00,1551.8,1558.2,1551.8,1559.8,71,0
2021-07-23,09:00:00,1558.4,1553.0,1549.2,1560.0,550,0
2021-07-23,10:00:00,1553.6,1552.6,1550.2,1553.6,166,-1
2021-07-23,11:00:00,1551.8,1553.6,1550.2,1554.6,94,0
2021-07-23,12:00:00,1553.6,1553.2,1550.0,1553.6,106,0
2021-07-23,13:00:00,1553.2,1553.8,1553.2,1556.0,125,0
2021-07-26,08:00:00,1556.6,1557.2,1555.8,1559.4,58,0
2021-07-26,09:00:00,1557.6,1548.4,1548.2,1561.2,522,0
2021-07-26,10:00:00,1548.6,1539.6,1536.4,1550.0,477,-1
2021-07-26,11:00:00,1539.2,1539.0,1536.4,1540.2,117,-1
2021-07-26,12:00:00,1539.0,1532.4,1531.2,1540.2,202,-1
2021-07-26,13:00:00,1532.6,1530.8,1528.8,1533.4,255,-1
2021-07-27,08:00:00,1535.8,1535.8,1535.0,1539.0,64,0
2021-07-27,09:00:00,1535.0,1521.8,1518.8,1535.0,477,0
2021-07-27,10:00:00,1521.6,1519.2,1517.8,1525.2,189,-1
2021-07-27,11:00:00,1519.8,1515.6,1512.0,1519.8,254,-1
2021-07-27,12:00:00,1515.2,1520.6,1514.8,1522.8,132,0
2021-07-27,13:00:00,1521.0,1517.0,1514.6,1521.0,110,0
2021-07-28,08:00:00,1512.0,1516.8,1510.0,1520.2,74,0
2021-07-28,09:00:00,1516.8,1493.0,1486.0,1516.8,783,-1
2021-07-28,10:00:00,1492.8,1495.6,1488.6,1497.0,241,-1
2021-07-28,11:00:00,1496.2,1495.2,1494.4,1500.8,125,-1
2021-07-28,12:00:00,1496.0,1497.0,1493.6,1499.0,90,-1
2021-07-28,13:00:00,1497.0,1504.6,1497.0,1506.0,220,0
2021-07-29,08:00:00,1514.8,1514.8,1513.8,1520.0,81,0
2021-07-29,09:00:00,1515.6,1509.0,1507.4,1519.2,425,0
2021-07-29,10:00:00,1508.2,1511.4,1506.0,1513.6,139,-1
2021-07-29,11:00:00,1511.0,1514.8,1511.0,1515.8,67,0
2021-07-29,12:00:00,1515.0,1514.2,1512.2,1515.2,174,0
2021-07-29,13:00:00,1514.2,1515.0,1513.0,1516.2,177,0
2021-07-30,08:00:00,1515.0,1507.4,1507.4,1515.0,56,0
2021-07-30,09:00:00,1508.0,1505.8,1504.4,1510.4,299,-1
2021-07-30,10:00:00,1506.4,1513.2,1503.6,1514.8,295,0
2021-07-30,11:00:00,1513.0,1510.0,1509.2,1515.6,143,0
2021-07-30,12:00:00,1510.0,1508.6,1508.6,1512.0,96,-1
2021-07-30,13:00:00,1508.4,1506.4,1503.8,1508.8,206,-1
2021-08-02,08:00:00,1513.2,1513.0,1513.0,1519.0,76,0
2021-08-02,09:00:00,1513.0,1511.8,1509.6,1518.4,304,0
2021-08-02,10:00:00,1511.0,1512.8,1507.4,1513.8,130,-1
2021-08-02,11:00:00,1512.6,1517.0,1512.6,1520.0,182,0
2021-08-02,12:00:00,1517.0,1524.2,1516.6,1524.2,190,0
2021-08-02,13:00:00,1524.0,1528.8,1522.2,1528.8,168,0
2021-08-03,08:00:00,1524.8,1525.2,1524.0,1526.6,35,0
2021-08-03,09:00:00,1526.2,1521.0,1519.4,1526.4,242,0
2021-08-03,10:00:00,1520.8,1519.2,1518.2,1523.8,170,0
2021-08-03,11:00:00,1519.2,1521.0,1518.0,1523.4,70,0
2021-08-03,12:00:00,1522.6,1523.6,1520.8,1524.2,48,0
2021-08-03,13:00:00,1524.0,1529.0,1523.8,1529.0,146,0
2021-08-04,08:00:00,1527.4,1527.2,1522.6,1528.4,54,0
2021-08-04,09:00:00,1527.0,1526.2,1523.6,1530.8,189,0
2021-08-04,10:00:00,1525.2,1527.4,1524.4,1528.0,60,0
2021-08-04,11:00:00,1527.0,1526.4,1525.4,1527.0,53,-1
2021-08-04,12:00:00,1526.4,1527.4,1526.4,1529.4,78,0
2021-08-04,13:00:00,1528.0,1527.4,1527.4,1528.8,79,0
2021-08-05,08:00:00,1526.0,1527.6,1526.0,1530.4,25,0
2021-08-05,09:00:00,1527.8,1527.4,1523.6,1528.4,161,-1
2021-08-05,10:00:00,1527.0,1528.0,1526.0,1528.6,68,-1
2021-08-05,11:00:00,1528.2,1528.2,1526.8,1529.4,40,0
2021-08-05,12:00:00,1529.2,1531.6,1528.6,1531.8,80,0
2021-08-05,13:00:00,1530.8,1529.4,1529.2,1531.4,63,0
