wheat_date,wheat_time,wheat_open,wheat_high,wheat_low,wheat_close,wheat_volume,predict
2022-01-03,09:00:00,768.0,761.5,761.25,770.5,5955,-1
2022-01-03,10:00:00,761.75,756.75,752.75,761.75,8405,-1
2022-01-03,11:00:00,756.5,758.0,756.0,761.25,4422,-1
2022-01-03,12:00:00,758.25,758.0,757.25,760.25,2189,-1
2022-01-03,13:00:00,758.0,758.0,757.0,759.75,2747,0
2022-01-03,19:00:00,758.0,760.5,757.25,761.5,880,0
2022-01-03,20:00:00,760.5,761.25,759.75,761.25,143,0
2022-01-03,21:00:00,761.25,761.5,760.25,762.5,240,0
2022-01-03,22:00:00,761.0,762.25,761.0,762.5,126,0
2022-01-03,23:00:00,762.0,760.25,759.25,762.0,243,-1
2022-01-04,00:00:00,760.25,760.25,758.75,760.75,131,-1
2022-01-04,01:00:00,760.25,760.25,758.0,760.25,204,-1
2022-01-04,02:00:00,760.0,760.0,758.75,761.5,297,0
2022-01-04,03:00:00,760.0,758.5,756.25,761.0,916,0
2022-01-04,04:00:00,758.5,760.0,757.5,761.0,720,0
2022-01-04,05:00:00,760.25,761.75,760.25,762.5,652,0
2022-01-04,06:00:00,761.75,761.0,759.5,762.0,749,0
2022-01-04,07:00:00,761.0,764.5,760.0,764.75,1275,0
2022-01-04,08:00:00,763.5,765.0,761.75,768.5,5820,0
2022-01-04,09:00:00,765.0,765.25,762.25,767.5,5712,0
2022-01-04,10:00:00,765.25,766.5,762.75,768.75,3657,0
2022-01-04,11:00:00,766.75,767.75,765.0,769.0,2822,0
2022-01-04,12:00:00,767.75,769.0,766.25,771.5,3814,0
2022-01-04,13:00:00,769.0,768.75,768.0,770.5,5317,0
2022-01-04,19:00:00,771.0,767.25,767.0,771.5,884,0
2022-01-04,20:00:00,767.25,765.25,764.25,767.5,677,-1
2022-01-04,21:00:00,765.25,765.5,764.5,765.75,191,-1
2022-01-04,22:00:00,765.25,765.0,764.25,765.5,80,-1
2022-01-04,23:00:00,765.25,766.0,765.25,766.5,167,0
2022-01-05,00:00:00,765.75,765.5,765.25,766.0,74,0
2022-01-05,01:00:00,765.75,765.5,764.5,767.0,252,0
2022-01-05,02:00:00,765.5,763.0,762.25,765.75,525,-1
2022-01-05,03:00:00,763.0,765.75,761.25,766.25,769,0
2022-01-05,04:00:00,765.5,763.0,762.5,766.75,464,0
2022-01-05,05:00:00,763.0,762.0,761.5,763.25,471,-1
2022-01-05,06:00:00,761.75,761.5,760.5,763.25,753,-1
2022-01-05,07:00:00,761.75,762.0,759.5,762.5,969,0
2022-01-05,08:00:00,762.5,760.5,756.0,764.0,6473,0
2022-01-05,09:00:00,760.5,764.75,759.25,765.5,4441,0
2022-01-05,10:00:00,764.75,758.0,756.0,764.75,5605,0
2022-01-05,11:00:00,758.25,762.25,756.0,762.25,2980,-1
2022-01-05,12:00:00,762.0,761.5,761.0,763.0,2197,0
2022-01-05,13:00:00,761.5,760.25,760.0,762.0,3080,-1
2022-01-05,19:00:00,761.75,757.25,755.5,762.0,1198,0
2022-01-05,20:00:00,757.0,754.0,753.25,757.5,669,-1
2022-01-05,21:00:00,754.0,753.5,752.5,754.25,531,-1
2022-01-05,22:00:00,753.5,753.5,753.0,754.25,136,-1
2022-01-05,23:00:00,753.5,753.25,752.5,753.5,194,-1
2022-01-06,00:00:00,753.25,754.0,753.0,754.25,226,0
2022-01-06,01:00:00,754.0,756.75,754.0,757.25,523,0
2022-01-06,02:00:00,757.0,753.5,753.25,757.0,380,0
2022-01-06,03:00:00,753.5,753.75,751.5,754.25,1027,-1
2022-01-06,04:00:00,753.75,755.25,752.0,756.25,747,0
2022-01-06,05:00:00,755.25,754.5,754.0,756.5,425,0
2022-01-06,06:00:00,754.5,755.5,754.5,756.25,618,0
2022-01-06,07:00:00,755.25,755.5,752.75,756.25,656,0
2022-01-06,08:00:00,755.0,743.5,743.0,755.75,12375,-1
2022-01-06,09:00:00,743.5,739.75,736.75,746.0,12090,-1
2022-01-06,10:00:00,739.5,741.25,736.0,742.0,7412,-1
2022-01-06,11:00:00,741.25,743.75,739.75,744.5,4784,0
2022-01-06,12:00:00,743.5,744.25,743.25,745.5,3005,0
2022-01-06,13:00:00,744.25,746.5,743.25,747.25,6469,0
2022-01-06,19:00:00,748.0,743.75,743.0,748.5,991,0
2022-01-06,20:00:00,743.25,743.75,742.25,744.5,425,-1
2022-01-06,21:00:00,743.75,742.75,742.75,744.75,245,-1
2022-01-06,22:00:00,743.25,743.0,742.5,743.25,98,-1
2022-01-06,23:00:00,743.0,743.5,742.75,744.0,104,0
2022-01-07,00:00:00,743.0,741.75,740.25,743.0,339,0
2022-01-07,01:00:00,741.5,741.5,741.5,743.5,503,0
2022-01-07,02:00:00,741.5,740.0,739.0,742.75,629,0
2022-01-07,03:00:00,740.0,739.0,737.0,740.25,942,-1
2022-01-07,04:00:00,739.0,739.0,738.75,740.5,716,0
2022-01-07,05:00:00,738.75,737.25,736.5,739.0,1039,-1
2022-01-07,06:00:00,737.0,737.75,735.5,738.25,733,-1
2022-01-07,07:00:00,737.75,739.0,736.75,739.5,827,0
2022-01-07,08:00:00,740.0,744.0,737.25,746.0,6389,0
