corn_date,corn_time,corn_open,corn_high,corn_close,corn_low,corn_volume,predict
2021-12-21,01:45:00,592.5,593.0,593.0,592.25,126.0,0
2021-12-21,02:00:00,592.75,592.25,593.0,592.25,318.0,-1
2021-12-21,02:15:00,592.5,592.0,592.75,591.75,222.0,0
2021-12-21,02:30:00,592.0,591.5,592.25,591.25,223.0,0
2021-12-21,02:45:00,591.5,592.0,592.0,591.0,235.0,0
2021-12-21,03:00:00,592.25,592.0,592.25,591.5,132.0,0
2021-12-21,03:15:00,591.75,591.5,591.75,591.5,88.0,0
2021-12-21,03:30:00,591.5,591.25,591.75,591.25,81.0,0
2021-12-21,03:45:00,591.5,590.75,591.5,590.5,394.0,0
2021-12-21,04:00:00,590.75,591.25,591.25,590.5,227.0,0
2021-12-21,04:15:00,591.25,591.5,592.25,591.25,310.0,-1
2021-12-21,04:30:00,591.25,591.75,591.75,591.25,145.0,0
2021-12-21,04:45:00,591.5,591.25,591.75,591.0,179.0,0
2021-12-21,05:00:00,591.25,591.5,591.5,590.75,249.0,0
2021-12-21,05:15:00,591.25,591.5,592.0,591.0,244.0,-1
2021-12-21,05:30:00,591.5,591.0,591.5,590.75,366.0,0
2021-12-21,05:45:00,591.0,591.5,591.5,590.5,378.0,0
2021-12-21,06:00:00,591.5,590.5,592.0,590.25,1215.0,-1
2021-12-21,06:15:00,590.5,590.75,590.75,590.25,124.0,0
2021-12-21,06:30:00,590.75,590.5,590.75,590.0,393.0,0
2021-12-21,06:45:00,590.5,589.75,590.75,589.5,514.0,0
2021-12-21,07:00:00,589.75,590.5,590.5,589.75,313.0,0
2021-12-21,07:15:00,590.25,591.25,591.25,590.0,550.0,-1
2021-12-21,07:30:00,591.0,591.0,591.25,590.5,339.0,-1
2021-12-21,07:45:00,590.75,591.0,591.0,590.75,62.0,0
2021-12-21,08:30:00,592.0,593.5,594.25,591.25,7800.0,-1
2021-12-21,08:45:00,593.5,594.5,595.0,592.5,4361.0,-1
2021-12-21,09:00:00,594.5,595.25,596.0,594.0,6041.0,-1
2021-12-21,09:15:00,595.0,593.75,596.0,593.25,5263.0,-1
2021-12-21,09:30:00,593.75,596.5,597.0,593.25,5054.0,-1
2021-12-21,09:45:00,596.75,596.0,596.75,595.5,2546.0,0
2021-12-21,10:00:00,596.0,595.75,596.5,595.5,2948.0,0
2021-12-21,10:15:00,596.0,596.5,596.75,595.75,2711.0,0
2021-12-21,10:30:00,596.5,596.25,597.5,596.25,5299.0,-1
2021-12-21,10:45:00,596.5,597.0,598.5,596.5,4797.0,-1
2021-12-21,11:00:00,597.25,596.75,597.5,596.5,3352.0,0
2021-12-21,11:15:00,596.75,596.0,597.25,595.5,2485.0,0
