mini_nasdaq_date,mini_nasdaq_time,mini_nasdaq_open,mini_nasdaq_high,mini_nasdaq_close,mini_nasdaq_low,mini_nasdaq_volume,predict
2019-10-24,17:45:00,7930.25,7927.5,7931.0,7926.25,415.0,0
2019-10-24,18:00:00,7927.75,7929.0,7930.25,7927.0,307.0,0
2019-10-24,18:15:00,7928.75,7929.0,7930.0,7928.25,164.0,0
2019-10-24,18:30:00,7929.25,7920.75,7931.5,7920.25,1186.0,0
2019-10-24,18:45:00,7921.75,7923.0,7924.5,7918.5,890.0,0
2019-10-24,19:00:00,7923.0,7923.5,7925.75,7921.75,831.0,0
2019-10-24,19:15:00,7923.5,7927.25,7927.25,7922.5,549.0,0
2019-10-24,19:30:00,7927.25,7936.5,7938.5,7926.75,1668.0,-1
2019-10-24,19:45:00,7937.0,7935.0,7937.75,7933.0,801.0,0
2019-10-24,20:00:00,7934.75,7934.0,7936.25,7931.25,566.0,0
2019-10-24,20:15:00,7934.0,7932.5,7937.75,7931.5,818.0,0
2019-10-24,20:30:00,7932.25,7929.25,7933.75,7929.25,731.0,0
2019-10-24,20:45:00,7929.25,7928.25,7930.75,7923.25,1343.0,0
2019-10-24,21:00:00,7928.25,7930.5,7932.0,7927.25,582.0,0
2019-10-24,21:15:00,7930.0,7930.0,7931.0,7926.75,577.0,0
2019-10-24,21:30:00,7930.5,7927.25,7933.25,7927.25,563.0,0
2019-10-24,21:45:00,7927.5,7933.75,7935.0,7927.0,594.0,0
2019-10-24,22:00:00,7933.75,7933.5,7935.0,7932.0,357.0,0
2019-10-24,22:15:00,7934.0,7933.75,7934.5,7931.5,243.0,0
2019-10-24,22:30:00,7933.5,7933.25,7934.25,7932.0,174.0,0
2019-10-24,22:45:00,7933.5,7932.75,7933.5,7931.0,349.0,0
2019-10-24,23:00:00,7933.5,7932.5,7935.0,7932.25,247.0,0
2019-10-24,23:15:00,7932.5,7932.25,7933.0,7931.5,144.0,0
2019-10-24,23:30:00,7932.5,7930.0,7933.0,7929.0,297.0,0
2019-10-24,23:45:00,7930.5,7934.75,7934.75,7930.25,567.0,0
2019-10-25,00:00:00,7934.25,7933.5,7934.5,7931.5,403.0,0
2019-10-25,00:15:00,7933.5,7934.25,7935.0,7932.75,260.0,0
2019-10-25,00:30:00,7934.5,7940.0,7941.25,7932.5,1053.0,-1
2019-10-25,00:45:00,7940.25,7939.25,7940.5,7936.75,654.0,0
2019-10-25,01:00:00,7939.25,7938.5,7943.25,7937.75,996.0,0
2019-10-25,01:15:00,7938.0,7939.75,7940.25,7937.75,360.0,0
2019-10-25,01:30:00,7939.75,7938.75,7942.25,7938.5,1012.0,0
2019-10-25,01:45:00,7939.0,7942.25,7943.0,7937.25,1154.0,0
2019-10-25,02:00:00,7942.25,7939.0,7946.5,7937.75,2413.0,-1
2019-10-25,02:15:00,7939.25,7941.5,7943.25,7937.25,1132.0,0
2019-10-25,02:30:00,7942.0,7934.0,7942.5,7933.5,1835.0,0
2019-10-25,02:45:00,7934.0,7934.25,7935.25,7932.5,1322.0,0
2019-10-25,03:00:00,7934.25,7937.5,7939.0,7931.25,1457.0,0
2019-10-25,03:15:00,7937.5,7935.25,7938.0,7935.0,781.0,0
2019-10-25,03:30:00,7935.25,7934.0,7937.0,7931.5,1073.0,0
2019-10-25,03:45:00,7933.75,7935.0,7935.5,7933.0,666.0,0
2019-10-25,04:00:00,7935.25,7940.25,7942.5,7935.25,1175.0,0
2019-10-25,04:15:00,7940.75,7934.0,7941.75,7933.25,1502.0,0
2019-10-25,04:30:00,7934.0,7937.0,7937.5,7933.75,886.0,0
2019-10-25,04:45:00,7936.75,7938.25,7940.75,7936.75,735.0,0
2019-10-25,05:00:00,7938.25,7939.75,7941.25,7937.5,746.0,0
2019-10-25,05:15:00,7939.75,7938.75,7943.0,7938.25,728.0,0
2019-10-25,05:30:00,7939.0,7941.5,7942.0,7938.75,570.0,0
2019-10-25,05:45:00,7941.75,7943.75,7944.75,7941.0,710.0,0
2019-10-25,06:00:00,7943.5,7941.75,7944.0,7940.75,714.0,0
2019-10-25,06:15:00,7941.5,7939.25,7942.25,7938.5,909.0,0
2019-10-25,06:30:00,7939.25,7938.25,7941.5,7937.75,1065.0,0
2019-10-25,06:45:00,7938.5,7938.0,7943.5,7937.25,1181.0,0
2019-10-25,07:00:00,7938.0,7932.75,7938.0,7931.75,2056.0,0
2019-10-25,07:15:00,7932.25,7933.75,7935.0,7931.25,906.0,0
2019-10-25,07:30:00,7934.0,7926.5,7934.5,7923.0,3687.0,0
2019-10-25,07:45:00,7926.5,7929.25,7930.0,7921.0,1942.0,0
2019-10-25,08:00:00,7929.5,7930.0,7931.25,7924.75,2661.0,0
2019-10-25,08:15:00,7930.0,7930.75,7934.75,7929.0,3402.0,-1
2019-10-25,08:30:00,7930.75,7953.25,7957.75,7929.0,27649.0,-1
2019-10-25,08:45:00,7953.5,7967.0,7971.0,7948.25,16116.0,-1
2019-10-25,09:00:00,7967.25,7978.25,7981.0,7962.75,17348.0,-1
2019-10-25,09:15:00,7978.5,7990.0,7996.5,7973.75,18002.0,-1
2019-10-25,09:30:00,7990.0,7989.5,7997.25,7986.5,12711.0,-1
2019-10-25,09:45:00,7989.5,8005.0,8008.5,7986.25,17454.0,-1
