mini_russell_date,mini_russell_time,mini_russell_open,mini_russell_high,mini_russell_close,mini_russell_low,mini_russell_volume,predict
2020-09-03,19:00:00,1543.1,1546.0,1547.4,1543.1,393.0,-1
2020-09-03,19:15:00,1546.0,1548.0,1548.8,1544.4,564.0,-1
2020-09-03,19:30:00,1547.6,1547.8,1550.2,1547.2,263.0,-1
2020-09-03,19:45:00,1547.7,1550.6,1551.6,1547.1,390.0,-1
2020-09-03,20:00:00,1550.5,1554.1,1555.4,1549.5,522.0,-1
2020-09-03,20:15:00,1554.1,1551.7,1555.5,1551.4,325.0,-1
2020-09-03,20:30:00,1552.1,1553.5,1554.0,1550.6,279.0,0
2020-09-03,20:45:00,1553.9,1552.9,1554.5,1551.9,173.0,0
2020-09-03,21:00:00,1552.8,1553.2,1553.9,1551.7,112.0,0
2020-09-03,21:15:00,1552.9,1553.3,1555.3,1552.9,124.0,0
2020-09-03,21:30:00,1553.4,1553.8,1554.1,1552.3,71.0,0
2020-09-03,21:45:00,1554.3,1549.0,1554.3,1548.2,259.0,0
2020-09-03,22:00:00,1549.3,1547.7,1549.7,1545.9,296.0,0
2020-09-03,22:15:00,1547.8,1549.2,1550.5,1547.6,115.0,0
2020-09-03,22:30:00,1549.4,1550.0,1550.8,1548.9,67.0,-1
2020-09-03,22:45:00,1549.6,1548.2,1550.6,1547.6,113.0,0
2020-09-03,23:00:00,1548.2,1548.1,1548.8,1547.2,143.0,0
2020-09-03,23:15:00,1548.1,1548.5,1549.7,1548.0,162.0,0
2020-09-03,23:30:00,1548.9,1549.9,1550.8,1548.9,114.0,0
2020-09-03,23:45:00,1549.6,1550.8,1551.6,1549.4,150.0,0
2020-09-04,00:00:00,1550.5,1550.8,1551.9,1550.1,103.0,0
2020-09-04,00:15:00,1550.7,1550.1,1550.8,1549.6,48.0,0
2020-09-04,00:30:00,1550.5,1551.9,1552.1,1548.8,126.0,0
2020-09-04,00:45:00,1552.0,1553.7,1554.5,1551.7,169.0,-1
2020-09-04,01:00:00,1553.2,1552.4,1554.2,1551.7,269.0,0
2020-09-04,01:15:00,1552.2,1549.7,1552.4,1549.6,138.0,0
2020-09-04,01:30:00,1550.0,1549.7,1551.0,1547.8,254.0,0
2020-09-04,01:45:00,1549.9,1549.6,1552.7,1549.2,207.0,0
2020-09-04,02:00:00,1549.5,1550.9,1551.6,1544.0,829.0,0
2020-09-04,02:15:00,1551.1,1556.2,1556.7,1550.8,564.0,-1
2020-09-04,02:30:00,1556.0,1556.7,1558.6,1555.4,540.0,0
2020-09-04,02:45:00,1556.6,1560.4,1560.6,1556.4,574.0,-1
2020-09-04,03:00:00,1560.7,1560.4,1560.8,1558.1,743.0,-1
2020-09-04,03:15:00,1560.4,1561.1,1562.6,1560.0,454.0,-1
2020-09-04,03:30:00,1561.3,1562.0,1563.4,1560.8,437.0,-1
2020-09-04,03:45:00,1562.1,1562.4,1563.4,1561.0,218.0,0
2020-09-04,04:00:00,1562.3,1561.9,1563.0,1561.8,164.0,0
2020-09-04,04:15:00,1562.0,1563.6,1563.9,1561.6,298.0,-1
2020-09-04,04:30:00,1563.4,1564.2,1564.4,1561.6,249.0,-1
2020-09-04,04:45:00,1564.2,1567.3,1567.8,1563.5,644.0,-1
2020-09-04,05:00:00,1567.0,1569.1,1569.8,1566.8,929.0,-1
2020-09-04,05:15:00,1569.1,1566.7,1570.3,1565.2,1166.0,-1
2020-09-04,05:30:00,1566.7,1567.3,1568.0,1566.3,331.0,0
2020-09-04,05:45:00,1567.4,1567.9,1567.9,1566.8,466.0,0
2020-09-04,06:00:00,1567.9,1564.7,1568.7,1562.7,1512.0,-1
2020-09-04,06:15:00,1564.8,1563.7,1567.0,1562.8,927.0,0
2020-09-04,06:30:00,1563.9,1558.1,1565.0,1557.4,1203.0,0
2020-09-04,06:45:00,1558.2,1557.0,1559.9,1556.2,1068.0,0
2020-09-04,07:00:00,1557.1,1558.9,1561.5,1557.1,1393.0,0
2020-09-04,07:15:00,1558.7,1561.6,1563.5,1558.5,1101.0,-1
2020-09-04,07:30:00,1561.5,1567.9,1568.0,1557.5,2723.0,-1
2020-09-04,07:45:00,1568.0,1567.9,1570.1,1565.7,2205.0,-1
2020-09-04,08:00:00,1567.8,1566.6,1570.5,1565.1,2010.0,-1
2020-09-04,08:15:00,1566.7,1564.4,1569.9,1564.4,2459.0,0
2020-09-04,08:30:00,1564.5,1555.1,1564.5,1554.3,16905.0,0
2020-09-04,08:45:00,1554.8,1538.5,1558.1,1538.0,15886.0,0
2020-09-04,09:00:00,1538.4,1534.4,1545.9,1534.3,8951.0,0
2020-09-04,09:15:00,1534.4,1519.5,1535.5,1519.3,13367.0,0
2020-09-04,09:30:00,1519.6,1498.2,1520.2,1498.2,17515.0,0
2020-09-04,09:45:00,1498.3,1516.3,1516.8,1498.1,14101.0,0
2020-09-04,10:00:00,1516.3,1512.5,1517.4,1507.0,8302.0,0
2020-09-04,10:15:00,1512.5,1507.5,1517.0,1507.1,7331.0,0
2020-09-04,10:30:00,1507.6,1514.8,1520.3,1507.5,6601.0,-1
2020-09-04,10:45:00,1514.7,1520.5,1523.2,1511.5,9027.0,-1
2020-09-04,11:00:00,1520.6,1517.9,1523.5,1516.9,5214.0,-1
2020-09-04,11:15:00,1518.0,1526.6,1527.1,1516.3,4550.0,-1
2020-09-04,11:30:00,1526.6,1527.2,1528.5,1524.5,6692.0,-1
2020-09-04,11:45:00,1527.3,1526.7,1529.7,1522.8,5282.0,-1
2020-09-04,12:00:00,1526.5,1523.3,1527.0,1521.7,4059.0,-1
2020-09-04,12:15:00,1523.6,1519.6,1524.7,1517.9,2415.0,0
2020-09-04,12:30:00,1519.7,1520.6,1522.0,1516.0,2587.0,0
2020-09-04,12:45:00,1520.5,1523.6,1524.9,1519.8,2287.0,-1
2020-09-04,13:00:00,1523.7,1523.9,1527.0,1523.0,2734.0,-1
2020-09-04,13:15:00,1523.9,1529.5,1530.1,1521.8,2147.0,0
2020-09-04,13:30:00,1529.6,1537.4,1537.7,1527.6,3537.0,-1
2020-09-04,13:45:00,1537.3,1540.5,1541.4,1535.1,4416.0,-1
2020-09-04,14:00:00,1540.2,1537.3,1542.1,1537.3,3239.0,-1
2020-09-04,14:15:00,1537.5,1544.4,1544.7,1536.0,3346.0,-1
2020-09-04,14:30:00,1544.2,1535.0,1544.2,1533.3,6254.0,-1
2020-09-04,14:45:00,1535.0,1534.2,1538.6,1530.0,12726.0,0
2020-09-04,15:00:00,1534.1,1530.2,1535.1,1529.1,15031.0,0
2020-09-04,15:15:00,1530.2,1531.5,1531.9,1530.0,854.0,0
2020-09-04,15:30:00,1531.6,1530.7,1532.2,1530.5,486.0,0
2020-09-04,15:45:00,1530.4,1529.9,1530.9,1529.5,182.0,0
2020-09-04,16:00:00,1529.9,1530.4,1530.7,1529.9,35.0,0
2020-09-06,17:00:00,1532.9,1527.4,1538.8,1524.4,600.0,-1
2020-09-06,17:15:00,1527.4,1524.2,1527.4,1520.1,564.0,0
2020-09-06,17:30:00,1524.9,1528.8,1529.8,1524.6,240.0,0
2020-09-06,17:45:00,1528.9,1531.6,1532.5,1528.2,242.0,-1
2020-09-06,18:00:00,1531.3,1533.1,1533.9,1530.7,156.0,0
2020-09-06,18:15:00,1533.2,1532.2,1533.5,1529.7,171.0,0
2020-09-06,18:30:00,1532.2,1534.9,1536.4,1532.0,315.0,0
2020-09-06,18:45:00,1535.0,1531.6,1535.0,1531.4,141.0,0
2020-09-06,19:00:00,1531.4,1529.0,1533.4,1528.1,363.0,0
2020-09-06,19:15:00,1528.8,1532.1,1533.7,1527.5,395.0,0
2020-09-06,19:30:00,1532.2,1536.4,1537.3,1531.0,380.0,-1
2020-09-06,19:45:00,1536.3,1536.3,1539.8,1536.0,407.0,-1
2020-09-06,20:00:00,1536.2,1537.0,1539.7,1535.8,279.0,0
2020-09-06,20:15:00,1536.6,1537.2,1537.8,1533.8,134.0,0
2020-09-06,20:30:00,1537.3,1538.7,1539.7,1537.2,129.0,0
2020-09-06,20:45:00,1539.0,1537.3,1540.1,1536.7,76.0,0
2020-09-06,21:00:00,1538.0,1533.7,1538.6,1532.9,116.0,0
2020-09-06,21:15:00,1532.6,1533.5,1534.2,1530.3,122.0,0
2020-09-06,21:30:00,1533.9,1534.2,1534.4,1532.5,104.0,0
2020-09-06,21:45:00,1534.6,1535.8,1536.2,1533.0,184.0,-1
2020-09-06,22:00:00,1536.2,1536.4,1537.5,1535.2,96.0,0
2020-09-06,22:15:00,1536.4,1536.2,1537.2,1535.9,30.0,0
2020-09-06,22:30:00,1536.4,1537.3,1537.3,1535.4,23.0,0
2020-09-06,22:45:00,1536.9,1537.4,1537.4,1536.0,20.0,0
