tf_date,tf_time,tf_open,tf_high,tf_close,tf_low,tf_volume,predict
2021-07-02,10:45:00,1499.0,1498.4,1500.0,1498.0,41.0,1
2021-07-02,11:00:00,1498.6,1500.0,1501.0,1498.6,21.0,1
2021-07-02,11:15:00,1499.6,1500.0,1500.0,1499.0,23.0,1
2021-07-02,11:30:00,1499.8,1499.2,1499.8,1498.4,25.0,0
2021-07-02,11:45:00,1499.6,1500.0,1500.8,1499.2,32.0,0
2021-07-02,12:00:00,1500.2,1499.4,1500.2,1499.4,15.0,0
2021-07-02,12:15:00,1498.8,1497.2,1499.2,1496.4,35.0,1
2021-07-02,12:30:00,1497.8,1498.0,1499.0,1497.8,9.0,1
2021-07-02,12:45:00,1498.0,1496.6,1498.0,1496.2,48.0,1
2021-07-02,13:00:00,1497.4,1496.4,1498.2,1496.0,25.0,0
2021-07-02,13:15:00,1495.8,1495.0,1496.0,1494.2,65.0,1
2021-07-02,13:30:00,1495.4,1496.2,1496.6,1495.0,42.0,1
2021-07-02,13:45:00,1496.2,1495.8,1496.2,1494.6,18.0,0
2021-07-05,08:45:00,1499.4,1500.0,1500.4,1498.2,26.0,0
2021-07-05,09:00:00,1500.0,1511.2,1512.6,1499.8,177.0,0
2021-07-05,09:15:00,1510.8,1513.0,1514.6,1509.4,96.0,1
2021-07-05,09:30:00,1514.0,1510.0,1514.8,1510.0,81.0,0
2021-07-05,09:45:00,1510.0,1507.4,1513.0,1507.4,62.0,1
2021-07-05,10:00:00,1507.4,1510.4,1510.8,1506.6,65.0,1
2021-07-05,10:15:00,1511.2,1511.8,1512.4,1510.0,70.0,1
2021-07-05,10:30:00,1512.0,1512.8,1514.2,1511.4,68.0,0
2021-07-05,10:45:00,1512.6,1512.2,1513.6,1512.2,28.0,1
2021-07-05,11:00:00,1511.8,1512.0,1512.6,1511.2,20.0,1
2021-07-05,11:15:00,1512.0,1511.0,1512.0,1511.0,4.0,1
2021-07-05,11:30:00,1511.0,1510.6,1511.8,1510.0,11.0,1
2021-07-05,11:45:00,1511.4,1510.6,1511.4,1510.6,4.0,0
2021-07-05,12:00:00,1511.0,1510.6,1511.6,1510.6,19.0,0
2021-07-05,12:15:00,1511.0,1511.2,1511.8,1511.0,31.0,0
2021-07-05,12:30:00,1511.8,1512.0,1513.0,1511.8,27.0,0
2021-07-05,12:45:00,1512.0,1511.8,1512.2,1510.0,37.0,0
2021-07-05,13:00:00,1511.8,1511.8,1512.6,1511.0,38.0,0
2021-07-05,13:15:00,1511.6,1512.6,1512.6,1510.8,37.0,1
2021-07-05,13:30:00,1512.6,1509.4,1512.8,1509.2,83.0,1
2021-07-05,13:45:00,1510.2,1509.6,1510.2,1509.6,7.0,1
2021-07-06,08:45:00,1511.4,1513.0,1513.2,1510.0,22.0,0
2021-07-06,09:00:00,1513.0,1516.2,1516.2,1510.6,102.0,1
2021-07-06,09:15:00,1515.8,1514.4,1517.2,1513.6,119.0,0
2021-07-06,09:30:00,1514.6,1518.0,1519.0,1514.0,182.0,0
2021-07-06,09:45:00,1518.8,1520.6,1522.0,1518.8,144.0,1
2021-07-06,10:00:00,1519.0,1518.8,1519.8,1518.4,38.0,1
2021-07-06,10:15:00,1518.6,1519.8,1520.0,1518.4,39.0,0
2021-07-06,10:30:00,1519.4,1519.2,1520.4,1519.2,36.0,0
2021-07-06,10:45:00,1519.8,1521.8,1522.6,1519.8,35.0,0
2021-07-06,11:00:00,1522.4,1520.8,1523.0,1520.8,25.0,0
2021-07-06,11:15:00,1521.2,1519.8,1521.2,1518.6,28.0,1
2021-07-06,11:30:00,1519.4,1519.4,1519.4,1519.0,15.0,1
2021-07-06,11:45:00,1519.8,1520.2,1520.8,1519.8,21.0,0
2021-07-06,12:00:00,1520.4,1519.6,1520.4,1519.6,9.0,0
2021-07-06,12:15:00,1520.0,1518.8,1520.8,1518.8,14.0,0
2021-07-06,12:30:00,1518.6,1518.8,1518.8,1518.6,5.0,1
2021-07-06,12:45:00,1519.0,1519.6,1520.6,1518.6,26.0,0
2021-07-06,13:00:00,1519.8,1518.8,1519.8,1518.8,16.0,0
2021-07-06,13:15:00,1519.4,1518.6,1519.6,1518.6,10.0,0
2021-07-06,13:30:00,1518.6,1517.2,1520.0,1517.0,38.0,0
2021-07-06,13:45:00,1517.8,1519.2,1519.2,1517.2,9.0,1
2021-07-07,08:45:00,1514.2,1505.8,1514.2,1500.8,159.0,1
2021-07-07,09:00:00,1505.8,1511.0,1512.0,1505.8,125.0,1
2021-07-07,09:15:00,1511.4,1510.6,1511.8,1509.8,36.0,0
2021-07-07,09:30:00,1511.0,1514.0,1515.2,1510.6,42.0,0
2021-07-07,09:45:00,1514.6,1516.2,1516.8,1514.6,48.0,0
2021-07-07,10:00:00,1516.8,1514.4,1516.8,1514.4,25.0,0
2021-07-07,10:15:00,1514.4,1514.8,1515.6,1512.0,36.0,1
2021-07-07,10:30:00,1515.0,1514.6,1516.2,1514.6,20.0,1
2021-07-07,10:45:00,1514.0,1516.8,1516.8,1514.0,23.0,0
2021-07-07,11:00:00,1516.8,1516.8,1517.6,1516.4,9.0,0
2021-07-07,11:15:00,1517.4,1517.0,1518.0,1516.8,19.0,0
2021-07-07,11:30:00,1516.2,1516.0,1516.6,1514.6,15.0,1
2021-07-07,11:45:00,1516.2,1518.0,1518.0,1515.8,31.0,0
2021-07-07,12:00:00,1518.0,1519.6,1519.6,1517.8,87.0,0
2021-07-07,12:15:00,1519.6,1518.2,1520.6,1518.0,38.0,0
2021-07-07,12:30:00,1518.6,1513.4,1518.6,1513.4,60.0,1
2021-07-07,12:45:00,1513.6,1516.2,1517.2,1513.2,30.0,1
2021-07-07,13:00:00,1516.2,1516.4,1516.6,1515.8,7.0,1
2021-07-07,13:15:00,1516.0,1518.0,1518.0,1515.4,21.0,0
2021-07-07,13:30:00,1517.6,1520.2,1522.6,1517.6,85.0,0
2021-07-07,13:45:00,1521.4,1521.8,1521.8,1521.4,9.0,1
2021-07-08,08:45:00,1521.4,1524.8,1530.8,1521.4,78.0,0
2021-07-08,09:00:00,1524.6,1529.4,1530.4,1524.0,115.0,1
2021-07-08,09:15:00,1528.6,1532.8,1538.4,1527.4,220.0,0
2021-07-08,09:30:00,1532.8,1530.2,1533.6,1529.8,108.0,1
2021-07-08,09:45:00,1530.0,1524.6,1530.0,1524.4,126.0,1
2021-07-08,10:00:00,1524.2,1526.6,1527.8,1523.6,90.0,1
2021-07-08,10:15:00,1527.6,1521.6,1528.8,1521.0,71.0,1
2021-07-08,10:30:00,1521.4,1523.6,1523.6,1520.8,52.0,1
2021-07-08,10:45:00,1522.4,1526.8,1526.8,1522.0,60.0,0
2021-07-08,11:00:00,1526.8,1525.4,1527.0,1525.4,32.0,0
2021-07-08,11:15:00,1525.4,1525.8,1526.0,1525.4,7.0,0
2021-07-08,11:30:00,1525.8,1526.2,1526.8,1525.8,21.0,0
2021-07-08,11:45:00,1525.6,1527.6,1527.6,1525.2,18.0,0
2021-07-08,12:00:00,1528.0,1529.4,1529.4,1527.2,32.0,0
2021-07-08,12:15:00,1528.8,1526.2,1528.8,1526.2,70.0,1
2021-07-08,12:30:00,1526.8,1525.2,1527.4,1525.2,26.0,1
2021-07-08,12:45:00,1525.2,1525.2,1525.2,1524.4,25.0,1
2021-07-08,13:00:00,1525.2,1525.4,1525.4,1524.6,18.0,0
2021-07-08,13:15:00,1525.2,1525.6,1526.2,1525.0,11.0,0
2021-07-08,13:30:00,1525.8,1525.0,1527.8,1525.0,75.0,0
2021-07-08,13:45:00,1525.0,1525.6,1525.8,1524.8,6.0,1
2021-07-09,08:45:00,1515.0,1515.0,1516.2,1509.4,127.0,1
2021-07-09,09:00:00,1515.0,1516.8,1517.8,1508.2,258.0,1
2021-07-09,09:15:00,1517.2,1516.6,1518.4,1514.6,91.0,1
2021-07-09,09:30:00,1517.8,1512.4,1518.6,1512.0,82.0,0
2021-07-09,09:45:00,1512.8,1513.0,1515.0,1511.0,83.0,0
2021-07-09,10:00:00,1511.4,1514.2,1514.2,1507.4,144.0,0
2021-07-09,10:15:00,1513.6,1514.6,1515.6,1513.6,22.0,0
2021-07-09,10:30:00,1515.0,1517.4,1519.4,1514.8,72.0,0
2021-07-09,10:45:00,1516.2,1516.4,1518.6,1515.8,41.0,0
2021-07-09,11:00:00,1516.4,1516.8,1518.0,1515.6,52.0,0
2021-07-09,11:15:00,1517.4,1515.6,1517.4,1515.6,10.0,0
2021-07-09,11:30:00,1515.4,1516.2,1516.8,1515.0,14.0,1
2021-07-09,11:45:00,1515.8,1514.0,1516.2,1512.8,54.0,0
2021-07-09,12:00:00,1515.4,1513.8,1515.4,1513.8,9.0,0
2021-07-09,12:15:00,1514.0,1513.2,1514.0,1511.4,49.0,1
2021-07-09,12:30:00,1513.2,1513.0,1514.0,1512.6,17.0,1
2021-07-09,12:45:00,1513.4,1513.8,1515.2,1513.4,27.0,0
2021-07-09,13:00:00,1513.8,1516.6,1518.2,1513.2,74.0,0
2021-07-09,13:15:00,1517.0,1517.8,1518.2,1516.2,49.0,1
2021-07-09,13:30:00,1517.8,1517.2,1518.2,1516.0,69.0,0
2021-07-09,13:45:00,1516.0,1517.6,1517.6,1516.0,4.0,0
2021-07-12,08:45:00,1531.2,1541.0,1542.0,1528.8,127.0,0
2021-07-12,09:00:00,1540.6,1545.0,1546.4,1533.2,233.0,1
2021-07-12,09:15:00,1545.6,1552.4,1556.2,1544.2,313.0,1
2021-07-12,09:30:00,1552.4,1558.2,1559.8,1551.0,271.0,1
2021-07-12,09:45:00,1558.2,1555.2,1559.0,1552.0,135.0,1
2021-07-12,10:00:00,1555.0,1552.8,1555.2,1548.2,124.0,1
2021-07-12,10:15:00,1553.4,1549.8,1554.0,1549.2,50.0,1
2021-07-12,10:30:00,1549.4,1548.6,1550.2,1547.8,45.0,1
2021-07-12,10:45:00,1548.2,1547.4,1548.6,1546.0,56.0,1
2021-07-12,11:00:00,1547.4,1545.6,1547.6,1543.8,66.0,0
2021-07-12,11:15:00,1545.2,1543.8,1545.2,1540.0,65.0,0
2021-07-12,11:30:00,1543.8,1540.2,1544.0,1539.0,72.0,0
2021-07-12,11:45:00,1540.2,1539.2,1540.4,1538.6,58.0,1
2021-07-12,12:00:00,1539.6,1540.2,1541.0,1539.4,41.0,0
2021-07-12,12:15:00,1540.2,1541.6,1542.0,1539.4,43.0,0
2021-07-12,12:30:00,1541.0,1540.2,1541.4,1539.0,26.0,0
2021-07-12,12:45:00,1540.0,1535.8,1540.6,1535.8,126.0,0
2021-07-12,13:00:00,1536.6,1539.0,1539.8,1536.0,51.0,0
2021-07-12,13:15:00,1539.2,1536.4,1539.2,1536.4,42.0,0
2021-07-12,13:30:00,1536.2,1534.0,1536.2,1532.6,99.0,1
2021-07-12,13:45:00,1534.2,1535.0,1535.0,1533.6,9.0,1
2021-07-13,08:45:00,1540.4,1544.6,1546.4,1538.6,76.0,0
2021-07-13,09:00:00,1544.0,1546.2,1548.0,1542.6,94.0,0
2021-07-13,09:15:00,1546.4,1542.6,1547.4,1542.0,95.0,1
2021-07-13,09:30:00,1543.0,1543.2,1543.2,1540.2,42.0,1
2021-07-13,09:45:00,1542.2,1544.8,1545.2,1540.0,62.0,0
2021-07-13,10:00:00,1545.0,1545.8,1547.4,1544.0,84.0,0
2021-07-13,10:15:00,1545.4,1543.8,1546.4,1543.0,72.0,1
2021-07-13,10:30:00,1544.0,1544.0,1545.4,1543.0,78.0,1
2021-07-13,10:45:00,1543.8,1544.6,1545.0,1543.6,37.0,0
2021-07-13,11:00:00,1544.6,1544.4,1545.4,1544.2,15.0,0
2021-07-13,11:15:00,1543.6,1544.0,1544.0,1543.6,5.0,1
2021-07-13,11:30:00,1543.0,1542.0,1543.2,1540.6,59.0,1
2021-07-13,11:45:00,1541.4,1544.6,1544.6,1541.4,37.0,0
2021-07-13,12:00:00,1544.8,1544.4,1544.8,1543.4,42.0,0
2021-07-13,12:15:00,1545.2,1544.0,1545.6,1544.0,51.0,0
2021-07-13,12:30:00,1544.4,1541.8,1544.4,1541.0,62.0,0
2021-07-13,12:45:00,1541.8,1541.2,1542.2,1540.0,47.0,1
2021-07-13,13:00:00,1541.2,1537.6,1541.2,1536.4,96.0,0
2021-07-13,13:15:00,1537.4,1536.4,1538.2,1536.0,50.0,1
2021-07-13,13:30:00,1536.2,1536.6,1536.8,1535.4,56.0,1
2021-07-13,13:45:00,1537.0,1538.2,1538.6,1537.0,7.0,0
2021-07-14,08:45:00,1540.0,1537.8,1542.0,1536.0,38.0,0
2021-07-14,09:00:00,1538.8,1544.6,1547.2,1538.8,103.0,0
2021-07-14,09:15:00,1543.4,1542.2,1544.4,1540.8,73.0,1
2021-07-14,09:30:00,1542.6,1543.6,1544.6,1540.8,39.0,0
2021-07-14,09:45:00,1544.8,1544.2,1546.0,1542.8,53.0,0
2021-07-14,10:00:00,1544.0,1543.0,1545.0,1542.0,42.0,0
2021-07-14,10:15:00,1543.0,1548.2,1550.6,1543.0,161.0,0
2021-07-14,10:30:00,1547.6,1548.8,1549.6,1546.4,67.0,1
2021-07-14,10:45:00,1549.6,1544.8,1549.8,1544.8,81.0,1
2021-07-14,11:00:00,1544.6,1546.2,1547.2,1544.4,57.0,1
2021-07-14,11:15:00,1545.8,1546.6,1546.6,1545.0,12.0,1
2021-07-14,11:30:00,1546.6,1544.8,1546.6,1544.8,12.0,0
2021-07-14,11:45:00,1544.6,1545.8,1545.8,1544.6,5.0,0
2021-07-14,12:00:00,1545.8,1546.2,1546.2,1545.0,14.0,0
2021-07-14,12:15:00,1545.4,1545.0,1546.0,1545.0,15.0,0
2021-07-14,12:30:00,1545.2,1544.4,1545.8,1544.4,14.0,0
2021-07-14,12:45:00,1544.8,1545.0,1546.8,1544.8,28.0,0
2021-07-14,13:00:00,1545.0,1545.6,1546.4,1544.0,36.0,1
2021-07-14,13:15:00,1545.4,1547.2,1547.6,1544.4,30.0,0
2021-07-14,13:30:00,1546.8,1545.6,1547.6,1545.4,46.0,0
2021-07-14,13:45:00,1546.0,1545.8,1546.6,1545.8,9.0,0
2021-07-15,08:45:00,1546.6,1548.0,1549.0,1546.6,39.0,0
2021-07-15,09:00:00,1548.0,1553.4,1554.2,1548.0,91.0,0
2021-07-15,09:15:00,1554.2,1554.0,1559.6,1553.6,161.0,0
2021-07-15,09:30:00,1554.0,1555.2,1556.0,1553.4,48.0,1
2021-07-15,09:45:00,1555.2,1556.0,1556.0,1553.6,35.0,1
2021-07-15,10:00:00,1555.2,1561.4,1561.8,1555.2,150.0,1
2021-07-15,10:15:00,1560.4,1559.4,1560.4,1557.0,40.0,0
2021-07-15,10:30:00,1559.4,1558.6,1560.8,1557.8,26.0,0
2021-07-15,10:45:00,1557.6,1559.6,1560.0,1557.4,37.0,0
2021-07-15,11:00:00,1559.2,1559.6,1559.6,1558.0,16.0,0
2021-07-15,11:15:00,1559.6,1560.8,1561.2,1559.6,37.0,0
2021-07-15,11:30:00,1560.8,1558.4,1560.8,1558.4,27.0,0
2021-07-15,11:45:00,1558.4,1559.0,1559.0,1557.4,27.0,1
2021-07-15,12:00:00,1559.2,1559.2,1560.6,1558.4,18.0,0
2021-07-15,12:15:00,1558.6,1559.2,1559.2,1558.6,8.0,0
2021-07-15,12:30:00,1559.2,1559.0,1559.2,1558.6,8.0,0
2021-07-15,12:45:00,1558.6,1558.8,1559.0,1558.2,10.0,0
2021-07-15,13:00:00,1559.4,1560.0,1560.2,1558.8,30.0,0
2021-07-15,13:15:00,1560.2,1560.0,1560.4,1559.4,26.0,0
2021-07-15,13:30:00,1560.4,1558.6,1560.8,1558.0,85.0,0
2021-07-15,13:45:00,1558.8,1558.2,1558.8,1558.0,10.0,1
2021-07-16,08:45:00,1552.6,1559.0,1559.8,1549.0,135.0,0
2021-07-16,09:00:00,1558.8,1564.2,1566.2,1553.8,168.0,0
2021-07-16,09:15:00,1564.2,1568.0,1568.8,1559.8,193.0,0
2021-07-16,09:30:00,1566.8,1566.2,1567.4,1562.8,77.0,0
2021-07-16,09:45:00,1566.8,1570.8,1571.0,1566.8,89.0,1
2021-07-16,10:00:00,1570.0,1571.6,1574.0,1570.0,74.0,0
2021-07-16,10:15:00,1571.2,1572.0,1572.8,1569.2,50.0,0
2021-07-16,10:30:00,1571.6,1572.4,1572.8,1569.2,38.0,0
2021-07-16,10:45:00,1573.0,1573.2,1573.2,1571.0,26.0,0
2021-07-16,11:00:00,1573.4,1574.2,1575.0,1572.4,73.0,0
2021-07-16,11:15:00,1573.4,1572.6,1574.0,1572.4,14.0,0
2021-07-16,11:30:00,1573.0,1577.8,1577.8,1573.0,73.0,0
