tx_date,tx_time,tx_open,tx_high,tx_close,tx_low,tx_volume,predict
2021-07-30,20:15:00,819.45,818.95,819.8,818.95,4.0,0
2021-07-30,20:30:00,819.4,819.6,819.6,819.4,5.0,1
2021-07-30,21:00:00,819.0,818.7,819.0,817.95,15.0,1
2021-07-30,21:15:00,818.85,818.85,818.85,818.85,1.0,1
2021-07-30,21:30:00,819.1,821.8,821.8,819.1,38.0,0
2021-07-30,21:45:00,821.8,822.0,823.0,821.8,56.0,0
2021-07-30,22:00:00,822.3,823.35,824.4,822.3,33.0,0
2021-07-30,22:15:00,823.3,822.75,823.3,822.5,12.0,1
2021-07-30,22:30:00,822.5,822.55,822.7,822.5,7.0,1
2021-07-30,22:45:00,822.45,822.1,822.45,822.1,7.0,0
2021-07-30,23:00:00,822.1,821.7,822.1,821.15,8.0,0
2021-07-30,23:15:00,821.7,820.85,821.7,820.6,11.0,0
2021-07-30,23:30:00,821.2,820.75,821.5,820.0,35.0,0
2021-07-30,23:45:00,820.5,820.3,820.5,820.05,5.0,1
2021-07-31,00:00:00,820.55,821.0,821.55,820.55,6.0,0
2021-07-31,00:15:00,821.85,821.55,822.25,821.55,6.0,0
2021-07-31,00:30:00,821.9,822.15,822.15,821.9,3.0,0
2021-07-31,00:45:00,822.2,822.25,822.4,822.2,8.0,0
2021-07-31,01:00:00,822.0,822.1,822.1,822.0,3.0,0
2021-07-31,01:15:00,822.1,822.3,822.3,822.05,3.0,0
2021-07-31,01:30:00,822.3,822.5,822.5,822.3,4.0,0
2021-07-31,02:00:00,821.7,821.65,821.7,821.6,4.0,1
2021-07-31,02:15:00,821.35,821.05,821.35,821.05,3.0,0
2021-07-31,02:30:00,821.0,819.65,821.0,819.5,12.0,0
2021-07-31,02:45:00,819.75,820.75,820.75,819.75,4.0,1
2021-07-31,03:00:00,821.3,821.55,821.55,821.3,3.0,0
2021-07-31,03:45:00,821.45,821.1,821.65,821.1,6.0,0
2021-07-31,04:00:00,821.8,823.0,823.0,821.8,8.0,0
2021-07-31,04:30:00,822.95,822.2,822.95,822.2,2.0,0
2021-07-31,04:45:00,822.1,822.45,822.7,821.6,12.0,0
2021-08-02,08:45:00,824.1,824.1,826.25,823.65,160.0,0
2021-08-02,09:00:00,824.0,823.3,824.25,822.75,237.0,1
2021-08-02,09:15:00,823.15,823.4,824.35,821.3,166.0,1
2021-08-02,09:30:00,823.4,822.1,823.4,822.05,51.0,0
2021-08-02,09:45:00,822.45,822.6,822.95,821.8,60.0,1
2021-08-02,10:00:00,822.3,818.9,822.3,818.25,131.0,1
2021-08-02,10:15:00,818.85,820.75,820.75,818.35,70.0,1
2021-08-02,10:30:00,820.95,821.7,822.0,820.95,47.0,0
2021-08-02,10:45:00,821.9,821.95,822.3,821.15,57.0,0
2021-08-02,11:00:00,821.6,823.3,823.65,821.3,27.0,0
2021-08-02,11:15:00,822.9,823.5,823.8,822.7,60.0,0
2021-08-02,11:30:00,823.5,823.05,824.45,822.4,96.0,0
2021-08-02,11:45:00,822.65,823.05,823.05,821.4,77.0,1
2021-08-02,12:00:00,823.45,822.7,823.5,822.25,44.0,0
2021-08-02,12:15:00,822.8,822.4,823.25,822.4,38.0,0
2021-08-02,12:30:00,822.4,826.4,827.0,822.0,170.0,0
2021-08-02,12:45:00,826.6,827.45,827.75,826.6,144.0,0
2021-08-02,13:00:00,827.1,827.45,828.0,826.7,72.0,0
2021-08-02,13:15:00,827.15,827.95,827.95,826.9,49.0,0
2021-08-02,13:30:00,828.0,828.8,829.3,827.9,92.0,0
2021-08-02,13:45:00,828.8,829.0,829.2,828.7,29.0,0
2021-08-02,15:00:00,829.7,829.6,829.95,829.2,20.0,0
2021-08-02,15:15:00,829.55,828.6,829.55,828.6,14.0,0
2021-08-02,15:30:00,829.1,829.8,830.35,829.1,8.0,0
2021-08-02,15:45:00,829.8,829.3,829.8,829.3,2.0,0
2021-08-02,16:00:00,829.25,828.85,829.25,828.85,2.0,1
2021-08-02,16:30:00,829.65,829.4,829.65,829.4,4.0,0
2021-08-02,16:45:00,829.2,829.2,829.2,829.2,1.0,0
2021-08-02,17:30:00,829.4,829.85,829.85,829.4,3.0,0
2021-08-02,17:45:00,829.85,829.85,829.85,829.85,1.0,0
2021-08-02,18:00:00,829.3,829.05,829.3,829.05,2.0,1
2021-08-02,18:15:00,829.15,829.25,829.25,829.15,3.0,0
2021-08-02,18:45:00,828.6,828.0,828.6,828.0,10.0,0
2021-08-02,19:00:00,828.0,827.55,828.0,827.5,8.0,1
2021-08-02,19:15:00,828.0,828.0,828.0,828.0,3.0,0
2021-08-02,19:45:00,828.35,828.4,828.4,828.35,7.0,0
2021-08-02,20:00:00,828.4,828.3,828.4,828.3,3.0,0
2021-08-02,20:15:00,828.05,828.0,828.05,828.0,3.0,0
2021-08-02,20:30:00,827.8,827.85,827.85,827.7,5.0,1
2021-08-02,20:45:00,828.0,828.0,828.0,828.0,1.0,0
2021-08-02,21:00:00,828.0,828.2,828.2,828.0,6.0,0
2021-08-02,21:15:00,828.45,828.35,828.45,828.35,3.0,0
2021-08-02,21:30:00,828.9,829.0,829.55,828.2,15.0,0
2021-08-02,21:45:00,828.75,828.5,828.75,827.95,14.0,1
2021-08-02,22:00:00,828.45,828.45,828.5,828.05,15.0,1
2021-08-02,22:15:00,828.9,829.1,829.1,828.9,6.0,0
2021-08-02,22:30:00,829.0,828.75,829.5,828.75,4.0,0
2021-08-02,22:45:00,828.8,828.9,828.9,828.8,3.0,0
2021-08-02,23:00:00,829.0,829.0,829.0,829.0,1.0,0
2021-08-02,23:15:00,829.15,828.8,829.15,828.8,3.0,0
