wheat_date,wheat_time,wheat_open,wheat_high,wheat_close,wheat_low,wheat_volume,predict
2021-12-21,03:45:00,774.5,774.0,774.75,773.0,111.0,1
2021-12-21,04:00:00,774.0,776.75,776.75,773.5,129.0,0
2021-12-21,04:15:00,776.25,776.0,777.5,776.0,99.0,0
2021-12-21,04:30:00,775.75,777.0,777.0,774.0,256.0,0
2021-12-21,04:45:00,776.75,775.75,776.75,775.0,231.0,1
2021-12-21,05:00:00,775.5,776.5,776.75,775.5,81.0,0
2021-12-21,05:15:00,776.25,778.5,778.5,775.75,122.0,0
2021-12-21,05:30:00,778.25,775.75,778.5,775.5,306.0,0
2021-12-21,05:45:00,775.75,775.75,776.0,774.25,129.0,1
2021-12-21,06:00:00,775.5,777.25,777.5,775.25,248.0,0
2021-12-21,06:15:00,777.25,776.5,777.25,776.0,105.0,0
2021-12-21,06:30:00,776.25,775.25,776.25,774.5,127.0,1
2021-12-21,06:45:00,775.0,773.0,775.25,772.5,411.0,1
2021-12-21,07:00:00,773.0,774.25,774.25,772.5,248.0,1
2021-12-21,07:15:00,774.25,777.0,777.0,774.0,325.0,0
2021-12-21,07:30:00,776.75,778.25,778.75,775.75,444.0,0
2021-12-21,07:45:00,778.5,777.75,778.5,777.5,23.0,0
2021-12-21,08:30:00,777.75,783.25,785.75,777.5,4155.0,0
2021-12-21,08:45:00,783.25,784.5,785.25,782.25,1534.0,0
2021-12-21,09:00:00,784.75,785.5,786.5,783.25,1892.0,0
2021-12-21,09:15:00,785.25,784.25,786.5,784.0,1909.0,0
2021-12-21,09:30:00,784.25,787.5,787.75,784.0,1698.0,0
2021-12-21,09:45:00,787.5,787.0,789.25,786.75,1387.0,0
2021-12-21,10:00:00,787.25,789.5,791.25,786.75,1528.0,0
2021-12-21,10:15:00,789.5,789.0,790.5,788.5,813.0,1
2021-12-21,10:30:00,789.25,790.75,792.5,788.75,1272.0,0
2021-12-21,10:45:00,791.0,793.75,797.25,790.75,2814.0,0
2021-12-21,11:00:00,793.75,792.25,795.75,792.25,1513.0,1
2021-12-21,11:15:00,792.5,793.25,794.0,792.5,1129.0,1
2021-12-21,11:30:00,793.25,795.25,796.0,793.25,921.0,0
2021-12-21,11:45:00,795.25,794.75,796.5,794.5,885.0,0
2021-12-21,12:00:00,794.75,797.5,797.75,794.75,760.0,0
2021-12-21,12:15:00,797.25,797.25,798.25,796.75,888.0,0
2021-12-21,12:30:00,797.5,797.25,798.0,796.25,929.0,0
2021-12-21,12:45:00,797.5,797.5,798.75,797.0,701.0,0
2021-12-21,13:00:00,797.75,799.0,799.75,796.5,1373.0,0
2021-12-21,13:15:00,799.0,796.75,799.75,796.5,1839.0,0
2021-12-21,19:00:00,796.75,795.75,796.75,792.0,679.0,1
2021-12-21,19:15:00,795.75,797.5,799.0,795.5,476.0,0
2021-12-21,19:30:00,797.25,798.25,798.25,797.0,93.0,0
2021-12-21,19:45:00,798.0,798.25,799.0,797.5,92.0,0
2021-12-21,20:00:00,798.25,798.25,798.5,797.75,76.0,0
2021-12-21,20:15:00,798.25,798.5,798.75,797.75,48.0,0
2021-12-21,20:30:00,798.75,798.25,798.75,798.25,37.0,0
2021-12-21,20:45:00,798.0,797.25,798.0,797.25,79.0,1
2021-12-21,21:00:00,797.25,797.25,797.5,797.25,24.0,1
2021-12-21,21:15:00,797.5,797.75,798.0,797.5,30.0,0
2021-12-21,21:30:00,797.5,795.75,797.5,795.5,88.0,0
2021-12-21,21:45:00,795.75,796.25,796.25,795.75,12.0,1
2021-12-21,22:00:00,796.0,796.0,796.25,796.0,7.0,0
2021-12-21,22:15:00,796.0,796.25,796.75,796.0,14.0,0
2021-12-21,22:30:00,796.25,797.0,797.0,796.0,17.0,0
2021-12-21,22:45:00,797.0,797.25,797.25,796.75,15.0,0
2021-12-21,23:00:00,797.25,797.25,797.25,797.0,17.0,0
2021-12-21,23:15:00,797.0,796.75,797.0,796.0,22.0,1
2021-12-21,23:30:00,797.0,797.25,797.25,796.5,35.0,0
2021-12-21,23:45:00,797.5,798.0,798.0,797.25,15.0,0
2021-12-22,00:00:00,798.0,797.5,798.5,797.5,69.0,0
2021-12-22,00:15:00,797.75,798.0,798.0,797.5,14.0,0
2021-12-22,00:30:00,798.0,798.75,798.75,797.75,46.0,0
2021-12-22,00:45:00,798.25,797.75,798.75,797.75,26.0,0
2021-12-22,01:00:00,798.0,798.5,798.75,798.0,45.0,0
2021-12-22,01:15:00,798.75,801.0,802.0,798.75,507.0,0
2021-12-22,01:30:00,801.0,800.5,801.25,800.0,108.0,0
2021-12-22,01:45:00,800.5,801.5,802.5,800.25,203.0,0
2021-12-22,02:00:00,801.5,801.0,802.5,800.0,280.0,0
2021-12-22,02:15:00,801.25,801.75,801.75,801.0,73.0,0
2021-12-22,02:30:00,801.75,802.75,803.0,801.5,92.0,0
2021-12-22,02:45:00,802.75,803.0,803.25,801.5,205.0,0
2021-12-22,03:00:00,803.0,801.75,803.25,801.5,178.0,0
2021-12-22,03:15:00,801.75,804.25,804.5,801.75,366.0,0
2021-12-22,03:30:00,804.25,803.0,804.25,803.0,178.0,0
2021-12-22,03:45:00,803.25,803.5,805.75,803.0,577.0,0
2021-12-22,04:00:00,803.5,804.5,805.25,803.0,179.0,1
2021-12-22,04:15:00,804.5,804.75,805.0,804.25,179.0,1
2021-12-22,04:30:00,804.25,804.75,804.75,803.5,217.0,0
2021-12-22,04:45:00,804.5,805.5,805.75,803.75,285.0,0
2021-12-22,05:00:00,805.75,806.0,806.5,805.75,166.0,0
2021-12-22,05:15:00,806.0,806.0,806.75,805.75,272.0,0
2021-12-22,05:30:00,806.0,804.25,806.25,804.25,329.0,0
2021-12-22,05:45:00,804.25,804.5,805.25,804.25,112.0,1
2021-12-22,06:00:00,804.5,803.0,804.75,802.25,171.0,0
2021-12-22,06:15:00,803.0,802.75,803.5,802.5,88.0,0
2021-12-22,06:30:00,802.5,804.0,804.5,802.5,347.0,0
2021-12-22,06:45:00,804.0,805.25,805.5,804.0,578.0,0
2021-12-22,07:00:00,805.25,805.75,806.5,805.0,596.0,0
2021-12-22,07:15:00,806.0,807.75,807.75,805.75,401.0,0
2021-12-22,07:30:00,807.5,807.25,808.0,806.75,356.0,0
2021-12-22,07:45:00,807.25,807.25,807.75,807.25,74.0,0
2021-12-22,08:30:00,805.0,810.5,813.25,805.0,4871.0,0
2021-12-22,08:45:00,810.5,805.5,811.0,805.0,2397.0,0
2021-12-22,09:00:00,805.75,802.0,806.25,801.5,4162.0,1
2021-12-22,09:15:00,802.25,809.5,809.5,802.0,1967.0,0
2021-12-22,09:30:00,809.25,813.0,814.0,809.0,2683.0,0
2021-12-22,09:45:00,813.0,810.0,814.5,809.75,1910.0,0
2021-12-22,10:00:00,810.0,811.25,811.25,809.0,1158.0,0
2021-12-22,10:15:00,811.0,808.5,811.5,808.0,901.0,0
2021-12-22,10:30:00,808.5,808.5,809.25,807.75,733.0,1
2021-12-22,10:45:00,808.75,807.75,809.0,807.25,650.0,0
2021-12-22,11:00:00,807.75,810.25,810.5,807.75,759.0,0
2021-12-22,11:15:00,810.25,812.5,812.75,810.25,1012.0,0
2021-12-22,11:30:00,812.5,813.25,813.25,812.0,869.0,0
2021-12-22,11:45:00,813.25,813.75,814.25,813.0,913.0,0
2021-12-22,12:00:00,814.0,815.25,815.75,813.5,1377.0,0
2021-12-22,12:15:00,815.5,815.0,815.75,814.0,773.0,0
2021-12-22,12:30:00,815.0,816.0,817.0,814.5,1203.0,0
2021-12-22,12:45:00,816.25,813.5,816.25,813.25,953.0,0
2021-12-22,13:00:00,813.5,814.0,815.0,813.25,1373.0,1
2021-12-22,13:15:00,813.75,813.5,815.0,813.25,1702.0,0
2021-12-22,19:00:00,813.5,812.5,813.5,811.5,574.0,0
2021-12-22,19:15:00,812.5,812.75,813.0,812.25,155.0,0
2021-12-22,19:30:00,812.75,813.25,813.25,812.5,74.0,0
2021-12-22,19:45:00,813.5,814.5,815.0,813.25,255.0,0
2021-12-22,20:00:00,814.75,815.0,815.0,814.0,80.0,0
2021-12-22,20:15:00,814.75,814.0,814.75,814.0,47.0,1
2021-12-22,20:30:00,814.25,814.5,815.0,814.25,60.0,0
2021-12-22,20:45:00,814.5,815.0,815.0,814.25,141.0,0
2021-12-22,21:00:00,814.75,815.75,815.75,814.5,71.0,0
2021-12-22,21:15:00,815.75,816.0,816.0,815.0,89.0,0
2021-12-22,21:30:00,816.25,816.25,816.75,816.0,80.0,0
2021-12-22,21:45:00,816.5,818.0,818.0,816.25,226.0,0
2021-12-22,22:00:00,818.0,816.75,818.0,816.75,66.0,0
2021-12-22,22:15:00,817.0,817.0,817.5,816.25,70.0,0
2021-12-22,22:30:00,817.25,817.5,817.5,817.0,31.0,0
2021-12-22,22:45:00,817.5,817.5,817.75,817.25,86.0,0
2021-12-22,23:00:00,817.5,817.5,818.0,817.5,108.0,0
2021-12-22,23:15:00,817.5,817.25,817.5,817.25,11.0,0
2021-12-22,23:30:00,817.25,817.5,818.0,817.25,52.0,1
2021-12-22,23:45:00,817.5,817.25,817.5,817.25,23.0,1
