corn_date,corn_time,corn_open,corn_high,corn_close,corn_low,corn_volume,predict
2021-03-17,08:59:00,556,556.75,553,552.25,19272,0
2021-03-17,09:59:00,553,555.5,555.25,552,13024,0
2021-03-17,10:59:00,555.25,556.25,555.25,554.5,10423,0
2021-03-17,11:59:00,555.25,557.25,555.5,555,10404,0
2021-03-17,12:59:00,555.5,556.75,555.5,555,6566,0
2021-03-17,13:20:00,555.75,558.5,556.25,555.5,12981,0
2021-03-17,19:57:00,556.75,557.5,555.5,555.25,3321,0
2021-03-17,20:59:00,555.75,556.25,555.25,555,1179,0
2021-03-17,21:59:00,555.5,556.25,556.25,554.5,975,0
2021-03-17,22:58:00,556.5,556.5,555.5,555.25,394,0
2021-03-17,23:59:00,555.5,555.75,555.5,555.25,324,0
2021-03-18,00:59:00,555.5,556.25,556,555,544,0
2021-03-18,01:59:00,556,556.75,555.25,555,838,0
2021-03-18,02:59:00,555.25,556.5,556.5,554.75,1366,0
2021-03-18,03:59:00,556.5,557.75,556.5,555.75,1241,0
2021-03-18,04:59:00,556.25,557.5,557,556.25,567,0
2021-03-18,05:59:00,557,557.5,557.25,556.5,423,0
2021-03-18,06:59:00,557.25,557.5,556.25,554.75,1344,0
2021-03-18,07:45:00,556,558,556,556,3609,0
2021-03-18,08:59:00,555.5,556.25,549.5,548.75,25491,1
2021-03-18,09:59:00,549.5,557,554.75,548.5,22555,0
2021-03-18,10:59:00,554.5,555.75,554.25,553.5,6702,0
2021-03-18,11:59:00,554.25,554.5,549.75,549.5,9852,0
2021-03-18,12:59:00,549.75,551.25,548.5,548,11618,0
2021-03-18,13:20:00,548.5,549.25,546.25,545.25,17016,0
2021-03-18,19:59:00,546.25,548.75,547.5,546.25,4156,0
2021-03-18,20:59:00,547.5,548.5,547.75,546.75,1543,0
2021-03-18,21:58:00,547.75,548,548,546.75,450,0
2021-03-18,22:58:00,548,548.25,547.5,547.25,302,0
2021-03-18,23:59:00,547.25,548,547.75,547.25,298,0
2021-03-19,00:59:00,548,548,547.5,547,548,0
2021-03-19,01:58:00,547.5,548,547.25,546.25,1152,0
2021-03-19,02:58:00,547,549.5,549.25,547,1171,0
2021-03-19,03:59:00,549.25,550.25,549.5,548.5,1338,0
2021-03-19,04:59:00,549.5,550.75,549.25,548.75,869,0
2021-03-19,05:58:00,549.25,549.5,549,548,789,0
2021-03-19,06:59:00,549,549,546.75,546.5,1301,0
2021-03-19,07:45:00,546.5,548.75,548.25,545.5,2960,0
2021-03-19,08:59:00,549,553.25,550.25,548,21920,1
2021-03-19,09:59:00,550.25,554.5,553.75,549.5,13700,0
2021-03-19,10:59:00,553.75,555.75,555.75,552.25,15440,0
2021-03-19,11:59:00,555.75,558.5,558.5,555.25,13997,0
2021-03-19,12:59:00,558.75,559,556.25,555.25,10995,0
2021-03-19,13:20:00,556.25,558,556.75,555.5,10107,0
2021-03-21,19:59:00,558,558.75,556,554.75,3684,0
2021-03-21,20:59:00,555.75,556.5,555.5,555,1110,0
2021-03-21,21:58:00,555.5,555.75,555.5,554.5,833,0
2021-03-21,22:54:00,555.5,556,556,555.25,455,0
2021-03-21,23:59:00,556,556.5,556,556,151,0
2021-03-22,00:58:00,556,556.25,555.25,554.5,610,0
2021-03-22,01:59:00,555.25,556.5,555.5,555,722,0
2021-03-22,02:59:00,555.5,555.5,554.5,554,1269,0
2021-03-22,03:58:00,554.75,556.25,555.5,554.5,747,0
2021-03-22,04:59:00,555.5,555.5,555,554.75,359,0
2021-03-22,05:59:00,554.75,555.5,554,552.75,1954,0
2021-03-22,06:59:00,553.75,555.75,555.75,553.75,1090,0
2021-03-22,07:45:00,555.75,556,555.25,553.5,1128,0
2021-03-22,08:59:00,555.25,556,547.75,547.25,28753,1
2021-03-22,09:59:00,548,552.5,552,546.75,18574,0
2021-03-22,10:59:00,552,552.5,549.75,547.75,10918,0
2021-03-22,11:59:00,549.75,552.25,551.5,548.75,6709,0
2021-03-22,12:59:00,551.75,552,549.75,548.5,7230,0
2021-03-22,13:20:00,549.75,551.5,550.75,548,12563,0
2021-03-22,19:59:00,551.25,552.75,551.75,550.25,3231,0
2021-03-22,20:59:00,551.5,551.5,551.5,550,1053,0
2021-03-22,21:59:00,551.5,551.75,551.5,550.75,596,0
2021-03-22,22:58:00,551.25,551.25,551,550.5,190,0
2021-03-22,23:59:00,551,551.25,551,550.75,159,0
2021-03-23,00:59:00,551,551.25,550.75,550.5,343,0
2021-03-23,01:59:00,551,551.75,551.75,550.25,528,0
2021-03-23,02:59:00,551.5,552.25,552.25,550.5,667,0
2021-03-23,03:59:00,552.25,552.25,550.75,550.5,877,0
