mini_dow_date,mini_dow_time,mini_dow_open,mini_dow_high,mini_dow_close,mini_dow_low,mini_dow_volume,predict
2019-01-28,15:59:00,24467,24495,24464,24458,5562,0
2019-01-28,16:00:00,24463,24463,24459,24459,90,0
2019-01-28,17:59:00,24458,24460,24421,24412,1266,0
2019-01-28,18:59:00,24421,24421,24362,24361,3553,0
2019-01-28,19:59:00,24361,24400,24389,24350,3389,0
2019-01-28,20:59:00,24388,24392,24378,24364,1671,0
2019-01-28,21:59:00,24376,24395,24385,24375,1501,0
2019-01-28,22:59:00,24384,24401,24393,24377,1515,0
2019-01-28,23:59:00,24394,24443,24435,24386,2586,0
2019-01-29,00:59:00,24435,24453,24421,24417,1994,0
2019-01-29,01:59:00,24421,24427,24398,24395,2178,0
2019-01-29,02:59:00,24399,24432,24431,24377,5210,0
2019-01-29,03:59:00,24431,24465,24454,24426,4724,0
2019-01-29,04:59:00,24454,24485,24466,24446,3467,0
2019-01-29,05:59:00,24466,24474,24472,24427,5117,0
2019-01-29,06:59:00,24471,24537,24527,24468,6487,0
2019-01-29,07:59:00,24527,24550,24545,24515,5517,0
2019-01-29,08:59:00,24546,24614,24599,24485,22678,0
2019-01-29,09:59:00,24601,24638,24485,24463,32962,0
2019-01-29,10:59:00,24485,24582,24580,24467,19126,0
2019-01-29,11:59:00,24580,24627,24579,24555,14412,0
2019-01-29,12:59:00,24578,24597,24585,24542,10082,0
2019-01-29,13:59:00,24587,24590,24498,24495,9287,0
2019-01-29,14:59:00,24499,24565,24528,24482,14349,0
2019-01-29,15:59:00,24529,24635,24621,24516,7019,0
2019-01-29,16:00:00,24621,24629,24622,24616,63,0
2019-01-29,17:59:00,24635,24660,24616,24611,1752,0
2019-01-29,18:59:00,24616,24616,24588,24572,3620,0
2019-01-29,19:59:00,24588,24616,24585,24544,5313,0
2019-01-29,20:59:00,24586,24597,24587,24573,2187,0
2019-01-29,21:59:00,24587,24630,24616,24584,2561,0
2019-01-29,22:59:00,24616,24629,24601,24599,1478,0
2019-01-29,23:59:00,24601,24610,24575,24563,2087,0
2019-01-30,00:59:00,24574,24590,24562,24557,1942,0
2019-01-30,01:59:00,24562,24580,24577,24540,3134,0
2019-01-30,02:59:00,24577,24613,24612,24566,4999,0
2019-01-30,03:59:00,24613,24638,24620,24603,3753,0
2019-01-30,04:59:00,24619,24635,24630,24610,2644,0
2019-01-30,05:59:00,24629,24646,24643,24624,2564,0
2019-01-30,06:59:00,24643,24832,24774,24643,15937,0
2019-01-30,07:59:00,24775,24799,24792,24738,7455,0
2019-01-30,08:59:00,24792,24831,24765,24757,23962,0
2019-01-30,09:59:00,24764,24848,24806,24745,24318,0
2019-01-30,10:59:00,24806,24889,24885,24800,21332,0
2019-01-30,11:59:00,24885,24926,24865,24855,13289,0
2019-01-30,12:59:00,24866,24874,24795,24764,11737,0
2019-01-30,13:59:00,24795,25067,25064,24772,47159,0
2019-01-30,14:59:00,25064,25068,24967,24926,28331,0
2019-01-30,15:59:00,24966,24997,24979,24931,10055,0
2019-01-30,16:00:00,24977,24977,24976,24973,25,0
2019-01-30,17:59:00,24931,24986,24984,24911,2574,0
2019-01-30,18:59:00,24984,24985,24943,24931,3936,0
2019-01-30,19:59:00,24944,24975,24971,24937,3216,0
2019-01-30,20:59:00,24972,24999,24988,24964,2010,0
2019-01-30,21:59:00,24987,25018,25006,24981,2458,0
2019-01-30,22:59:00,25006,25016,24993,24991,1160,0
2019-01-30,23:59:00,24992,24994,24964,24956,1985,0
2019-01-31,00:59:00,24964,24981,24967,24948,1724,0
2019-01-31,01:59:00,24967,24983,24978,24963,2466,0
2019-01-31,02:59:00,24978,25015,24987,24965,5316,0
2019-01-31,03:59:00,24988,24992,24962,24954,4668,0
2019-01-31,04:59:00,24962,24977,24953,24931,4602,0
2019-01-31,05:59:00,24953,24970,24962,24946,2620,0
2019-01-31,06:59:00,24962,24964,24935,24912,7797,0
2019-01-31,07:59:00,24934,24942,24886,24868,6910,0
2019-01-31,08:59:00,24886,24894,24830,24796,28166,0
2019-01-31,09:59:00,24830,24942,24886,24827,31046,0
2019-01-31,10:59:00,24885,24991,24991,24878,22880,0
2019-01-31,11:59:00,24991,24991,24914,24887,20819,0
2019-01-31,12:59:00,24914,24941,24922,24881,18772,0
