mini_nasdaq_date,mini_nasdaq_time,mini_nasdaq_open,mini_nasdaq_high,mini_nasdaq_close,mini_nasdaq_low,mini_nasdaq_volume,predict
2019-01-18,11:59:00,6811.75,6828.25,6822,6808,49886,0
2019-01-18,12:59:00,6822.5,6824,6804,6797.5,29408,0
2019-01-18,13:59:00,6804,6806.75,6786.25,6770,39529,0
2019-01-18,14:59:00,6786.25,6800.5,6787.25,6774,44604,0
2019-01-18,15:59:00,6787.25,6807,6806.75,6786,17360,0
2019-01-18,16:00:00,6806.75,6808,6805.5,6804.75,118,0
2019-01-20,17:59:00,6794.5,6794.5,6780,6777.25,2783,0
2019-01-20,18:59:00,6780,6785.25,6776.75,6774,4287,0
2019-01-20,19:59:00,6776.75,6778,6769,6756.75,7222,0
2019-01-20,20:59:00,6769.25,6780,6775,6765.75,5130,0
2019-01-20,21:59:00,6774.5,6776.75,6766.75,6765.5,2488,0
2019-01-20,22:59:00,6766.75,6771.5,6771.25,6762.75,1619,0
2019-01-20,23:59:00,6771.25,6775.75,6766.75,6762.5,2427,0
2019-01-21,00:59:00,6766.25,6771.25,6770.5,6765.5,1179,0
2019-01-21,01:59:00,6770.5,6772.5,6768.5,6765,2256,0
2019-01-21,02:59:00,6768.5,6771.5,6760,6758,3995,0
2019-01-21,03:59:00,6760.25,6760.75,6752.5,6746.75,3995,0
2019-01-21,04:59:00,6752.5,6765,6761.5,6749.5,2790,0
2019-01-21,05:59:00,6761,6764.25,6762.5,6756.25,2343,0
2019-01-21,06:59:00,6762.75,6768.5,6765.25,6760.5,2555,0
2019-01-21,07:59:00,6765.25,6771.75,6769.25,6761.75,2465,0
2019-01-21,08:59:00,6768.75,6770.75,6748.25,6741.25,11913,0
2019-01-21,09:59:00,6748.25,6758,6752.75,6747.25,7849,0
2019-01-21,10:59:00,6752.5,6763.5,6758.5,6750.5,5310,0
2019-01-21,11:59:00,6758,6766.75,6766.5,6754.5,2950,0
2019-01-21,12:00:00,6766.25,6766.25,6761.5,6761.5,199,0
2019-01-21,17:59:00,6755.5,6771.5,6770.5,6752.5,3594,0
2019-01-21,18:59:00,6770.25,6778.25,6749.75,6747.25,5493,0
2019-01-21,19:59:00,6750,6760.25,6744,6741.75,4452,0
2019-01-21,20:59:00,6743.75,6749,6741.75,6735.5,4389,0
2019-01-21,21:59:00,6741.5,6744.75,6734,6731,3629,0
2019-01-21,22:59:00,6734,6738,6733.75,6728.5,3616,0
2019-01-21,23:59:00,6734.25,6734.75,6728.25,6722.75,4144,0
2019-01-22,00:59:00,6728.5,6729.5,6724.25,6721.25,2695,0
2019-01-22,01:59:00,6724.5,6734.75,6731,6722.75,5258,0
2019-01-22,02:59:00,6731,6743.75,6739,6727.5,6004,0
2019-01-22,03:59:00,6738.5,6749.25,6741.5,6738,5248,0
2019-01-22,04:59:00,6741.5,6743.75,6733.5,6731,3805,0
2019-01-22,05:59:00,6733.5,6733.5,6732.5,6721.5,5746,0
2019-01-22,06:59:00,6732.75,6743.75,6740.25,6732.25,7286,0
2019-01-22,07:59:00,6740.25,6748.5,6740.25,6737.25,11856,0
2019-01-22,08:59:00,6740.5,6748.75,6733.75,6715,69042,0
2019-01-22,09:59:00,6733.75,6733.75,6714.5,6707,76769,0
2019-01-22,10:59:00,6715,6722.75,6683.75,6682.75,58831,0
2019-01-22,11:59:00,6683.75,6696.75,6683.75,6674.25,58050,0
2019-01-22,12:59:00,6683.75,6686,6665,6645,61641,0
2019-01-22,13:59:00,6665,6667,6630.25,6618.5,61869,0
2019-01-22,14:59:00,6630.25,6663,6639.75,6611.5,78362,0
2019-01-22,15:59:00,6640,6674,6655.25,6639.25,26615,0
2019-01-22,16:00:00,6655.25,6655.25,6654,6653,59,0
2019-01-22,17:59:00,6652,6657.25,6652.5,6640,3647,0
2019-01-22,18:59:00,6652.75,6665.5,6658.25,6652.25,5198,0
2019-01-22,19:59:00,6658.25,6684.75,6682.5,6654.25,7206,0
2019-01-22,20:59:00,6682.25,6683,6674.25,6672.75,3847,0
2019-01-22,21:59:00,6674.25,6680,6672.5,6670,3589,0
2019-01-22,22:59:00,6672.25,6673,6672.75,6667.5,3765,0
2019-01-22,23:59:00,6672.75,6675.25,6666.5,6663.25,2356,0
2019-01-23,00:59:00,6666.25,6673,6666.75,6665.25,1545,0
2019-01-23,01:59:00,6666.25,6668.5,6647.25,6646.5,5418,0
2019-01-23,02:59:00,6647.25,6659.25,6655.25,6638.25,7530,0
2019-01-23,03:59:00,6655,6675.5,6673.75,6653.25,5114,0
2019-01-23,04:59:00,6673.75,6679.5,6671.75,6668.5,4595,0
2019-01-23,05:59:00,6671.75,6677.25,6677,6665.25,4197,0
2019-01-23,06:59:00,6676.75,6694.75,6687.5,6676,9868,0
2019-01-23,07:59:00,6686.75,6693.5,6686,6674.5,11032,0
2019-01-23,08:59:00,6686,6723,6712.75,6684,58508,0
2019-01-23,09:59:00,6712.5,6724.25,6665.75,6656.75,72666,0
2019-01-23,10:59:00,6666,6672.5,6609.25,6606.25,65655,0
2019-01-23,11:59:00,6609.5,6634.75,6632.5,6592.25,60937,0
2019-01-23,12:59:00,6632.5,6647.75,6638,6612.5,53452,0
2019-01-23,13:59:00,6638.25,6657,6636.25,6622.25,45034,0
2019-01-23,14:59:00,6635.75,6665,6659.5,6632.75,59388,0
2019-01-23,15:59:00,6659.5,6674.25,6671.5,6655.5,14891,0
2019-01-23,16:00:00,6671.5,6671.5,6670.75,6669.75,60,0
2019-01-23,17:59:00,6663,6675,6661,6656,3411,0
2019-01-23,18:59:00,6661,6674.25,6669.75,6653,5361,0
2019-01-23,19:59:00,6670,6694.25,6669.75,6665.25,9033,0
2019-01-23,20:59:00,6670,6677.5,6674,6656.5,6561,0
2019-01-23,21:59:00,6674.5,6682.5,6671.25,6670.25,3752,0
2019-01-23,22:59:00,6671,6676.75,6672.5,6666.25,2099,0
2019-01-23,23:59:00,6672.25,6681.25,6679,6668.25,2922,0
2019-01-24,00:59:00,6678.75,6680.75,6674,6672.25,1770,0
2019-01-24,01:59:00,6674,6678.5,6673.25,6664.75,3784,0
2019-01-24,02:59:00,6672.75,6686.25,6682,6660.75,7366,0
2019-01-24,03:59:00,6681.75,6699.25,6697.25,6677.75,6780,0
2019-01-24,04:59:00,6697.25,6699.75,6692,6689,5228,0
2019-01-24,05:59:00,6691.5,6706.5,6693.75,6690,6503,0
2019-01-24,06:59:00,6693.75,6703.75,6693.75,6692.5,4560,0
2019-01-24,07:59:00,6694,6704.75,6677.75,6670.75,22900,0
2019-01-24,08:59:00,6677.5,6710.25,6690.5,6672.75,68535,0
2019-01-24,09:59:00,6690.25,6718.5,6682.25,6673.5,80857,0
2019-01-24,10:59:00,6682,6710,6707.5,6661.5,56445,0
2019-01-24,11:59:00,6707.25,6709.25,6682.5,6675.75,28884,0
2019-01-24,12:59:00,6682.75,6686,6684.25,6662.5,37946,0
2019-01-24,13:59:00,6684,6698.5,6693,6675.75,33784,0
2019-01-24,14:59:00,6692.75,6714.25,6710.5,6690.75,27719,0
2019-01-24,15:59:00,6710.5,6711.75,6685.25,6673,19721,0
2019-01-24,16:00:00,6685,6685.75,6685,6685,54,0
2019-01-24,17:59:00,6684.5,6687.75,6685.5,6676.75,2386,0
2019-01-24,18:59:00,6685.5,6697.75,6693,6683.75,4441,0
2019-01-24,19:59:00,6693,6702.75,6696.75,6682.25,5829,0
2019-01-24,20:59:00,6696.5,6711,6705.25,6694.25,4821,0
2019-01-24,21:59:00,6705.75,6749.75,6734,6704,9414,0
2019-01-24,22:59:00,6733.75,6736,6732.25,6728.25,2790,0
2019-01-24,23:59:00,6732.25,6739,6732,6726.5,3819,0
2019-01-25,00:59:00,6732.25,6735,6728.5,6725,2199,0
2019-01-25,01:59:00,6728.25,6734,6729.25,6723.25,3946,0
2019-01-25,02:59:00,6729,6744.25,6740.5,6715.5,9761,0
2019-01-25,03:59:00,6740.5,6741.5,6729.5,6727.75,6412,0
2019-01-25,04:59:00,6729.25,6744.75,6740.75,6725.5,5475,0
2019-01-25,05:59:00,6740.75,6750.5,6740.25,6738,6373,0
2019-01-25,06:59:00,6740,6742.75,6741.5,6732.25,6282,0
2019-01-25,07:59:00,6741.75,6768.25,6763.25,6741,13767,0
2019-01-25,08:59:00,6763.25,6765.75,6762,6739,62693,0
2019-01-25,09:59:00,6762,6791.5,6785.5,6762,69460,0
2019-01-25,10:59:00,6785.75,6802.75,6802,6776.75,41692,0
2019-01-25,11:59:00,6802,6810.5,6792.75,6781.5,49471,0
2019-01-25,12:59:00,6793,6804,6802,6785.75,31527,0
2019-01-25,13:59:00,6802.5,6807,6790,6777.75,40229,0
2019-01-25,14:59:00,6790,6796.25,6787.25,6776.25,46035,0
2019-01-25,15:59:00,6787,6797.25,6794.75,6783.75,13716,0
2019-01-25,16:00:00,6794.5,6796.25,6795.25,6794.5,75,0
2019-01-27,17:59:00,6784.25,6791,6777,6773.25,4152,0
2019-01-27,18:59:00,6776.5,6785.25,6775,6768.5,6445,0
2019-01-27,19:59:00,6774.75,6782.5,6775.75,6764,6338,0
2019-01-27,20:59:00,6775.75,6779.25,6768.5,6766.5,3304,0
2019-01-27,21:59:00,6768.25,6772,6770,6762.5,2671,0
2019-01-27,22:59:00,6770.25,6776,6775.75,6768,1645,0
2019-01-27,23:59:00,6775.5,6775.75,6756.75,6756,3598,0
2019-01-28,00:59:00,6756.5,6763,6757.75,6755,3187,0
2019-01-28,01:59:00,6757.75,6765.25,6761.5,6756.5,3304,0
2019-01-28,02:59:00,6761.75,6763.75,6748.5,6743.25,7796,0
2019-01-28,03:59:00,6748.5,6757.5,6756.75,6746,4251,0
2019-01-28,04:59:00,6756.25,6759.75,6752.25,6750.5,3464,0
2019-01-28,05:59:00,6752.25,6760,6752.5,6748.75,3856,0
2019-01-28,06:59:00,6752.25,6763.75,6750.25,6749,7556,0
2019-01-28,07:59:00,6750.25,6754.75,6751.75,6742,7687,0
2019-01-28,08:59:00,6751.75,6753.5,6670.75,6652,99534,0
2019-01-28,09:59:00,6670.75,6696,6680,6657.75,89002,0
2019-01-28,10:59:00,6680,6690.25,6659.25,6653,59332,0
2019-01-28,11:59:00,6659.5,6679.25,6664,6648.25,44422,0
2019-01-28,12:59:00,6664,6696.75,6688.75,6660.5,35550,0
2019-01-28,13:59:00,6688.75,6703.5,6698.25,6676,33818,0
2019-01-28,14:59:00,6698.5,6703.75,6700.25,6686,40075,0
2019-01-28,15:59:00,6700.25,6707.5,6698.75,6695.25,13460,0
2019-01-28,16:00:00,6698.5,6699,6698.75,6698.5,53,0
2019-01-28,17:59:00,6695.25,6697.5,6684,6680.75,2853,0
2019-01-28,18:59:00,6683.5,6683.75,6666.25,6666,6111,0
2019-01-28,19:59:00,6666.25,6676.5,6670.75,6661,6506,0
2019-01-28,20:59:00,6670.5,6672.75,6666.5,6661.25,3261,0
2019-01-28,21:59:00,6666,6674.25,6669.5,6665,2835,0
2019-01-28,22:59:00,6669.5,6674.75,6673.5,6667.5,2544,0
2019-01-28,23:59:00,6673.75,6691.75,6688,6671.5,5385,0
2019-01-29,00:59:00,6687.75,6692.5,6682.75,6681.75,3240,0
2019-01-29,01:59:00,6683,6685.5,6672.25,6671.5,3577,0
2019-01-29,02:59:00,6672.5,6682,6679.5,6665.5,8393,0
2019-01-29,03:59:00,6679.25,6691.5,6687.75,6678,5756,0
2019-01-29,04:59:00,6687.75,6698.5,6689,6683.5,5249,0
2019-01-29,05:59:00,6688.75,6698,6697.5,6681.5,6192,0
2019-01-29,06:59:00,6697.5,6714.75,6712,6695.75,10186,0
2019-01-29,07:59:00,6712,6721,6718,6711.25,9210,0
2019-01-29,08:59:00,6718,6720.75,6688.5,6677.25,54531,0
2019-01-29,09:59:00,6688.75,6704.25,6625.75,6616.75,91801,0
2019-01-29,10:59:00,6625.5,6646.5,6642.25,6619.25,55788,0
2019-01-29,11:59:00,6642.25,6661.75,6653.25,6634,37143,0
2019-01-29,12:59:00,6653,6659.75,6656.25,6641,26600,0
2019-01-29,13:59:00,6656.25,6657.5,6630.25,6628.5,27766,0
2019-01-29,14:59:00,6630.5,6646,6636.5,6625.5,39410,1
2019-01-29,15:59:00,6636.75,6686,6681.5,6627.25,23331,0
2019-01-29,16:00:00,6681.75,6682.25,6681.25,6680.75,158,0
2019-01-29,17:59:00,6690.25,6701.5,6685.75,6685.5,4475,0
2019-01-29,18:59:00,6685.75,6686.25,6677.75,6670,6925,0
2019-01-29,19:59:00,6677.5,6681.5,6674.75,6657.75,8652,0
2019-01-29,20:59:00,6675,6680.25,6678.75,6670.25,3793,0
2019-01-29,21:59:00,6678.75,6690,6686.75,6677.5,3697,0
2019-01-29,22:59:00,6686.75,6691.5,6684,6683.25,2386,0
2019-01-29,23:59:00,6683.75,6685.5,6675,6672,3387,0
2019-01-30,00:59:00,6675,6681.75,6674.5,6672.5,3339,0
2019-01-30,01:59:00,6674.5,6678.75,6677,6666,3963,0
2019-01-30,02:59:00,6676.75,6688,6687.5,6670.5,5473,0
2019-01-30,03:59:00,6687.25,6696.25,6688.5,6684,4678,0
2019-01-30,04:59:00,6688.25,6693.25,6691.75,6683,3224,0
2019-01-30,05:59:00,6691,6694.5,6694,6685.5,3075,0
2019-01-30,06:59:00,6694,6709,6701.75,6694,10082,0
2019-01-30,07:59:00,6701.5,6707.5,6703.75,6688.75,10386,0
2019-01-30,08:59:00,6704,6736.75,6713.75,6701.5,70081,0
2019-01-30,09:59:00,6713.5,6721.25,6709.25,6694.5,61156,0
2019-01-30,10:59:00,6709.25,6730.75,6730.75,6707.75,43502,0
2019-01-30,11:59:00,6730.5,6760.75,6751.75,6729.75,41728,0
2019-01-30,12:59:00,6751.75,6756.5,6745.5,6741.5,20609,1
2019-01-30,13:59:00,6745.25,6834,6833,6739.75,107876,0
2019-01-30,14:59:00,6833,6834.5,6812.25,6797.75,63478,0
2019-01-30,15:59:00,6812.5,6845.25,6840.75,6788,33749,0
2019-01-30,16:00:00,6840.25,6840.25,6838.75,6838,122,0
2019-01-30,17:59:00,6844.25,6865.5,6864.25,6844.25,7500,0
2019-01-30,18:59:00,6864,6867.75,6852.25,6846.75,10419,0
2019-01-30,19:59:00,6852.5,6861.25,6859.5,6848.75,6433,0
2019-01-30,20:59:00,6859.75,6871,6868,6858,4200,0
2019-01-30,21:59:00,6868.25,6881.5,6878.75,6867.75,5192,0
2019-01-30,22:59:00,6878.75,6879.75,6872.5,6872,2249,0
2019-01-30,23:59:00,6872.5,6873.25,6864.25,6861.75,3863,0
2019-01-31,00:59:00,6864,6869,6868.25,6860.75,2542,0
2019-01-31,01:59:00,6868.5,6874,6868.25,6864,4348,0
2019-01-31,02:59:00,6868.25,6878.25,6868.25,6862,7772,0
2019-01-31,03:59:00,6868.5,6870,6858,6855.25,7645,0
2019-01-31,04:59:00,6858,6864.25,6857.5,6847.75,6212,0
2019-01-31,05:59:00,6857.5,6870.75,6869,6852.75,5737,0
2019-01-31,06:59:00,6869.25,6878.25,6873,6862.25,11946,0
2019-01-31,07:59:00,6873,6877.25,6855.75,6850.25,10829,0
2019-01-31,08:59:00,6855.75,6879.5,6874.5,6839.25,68448,0
2019-01-31,09:59:00,6874.5,6913.75,6895,6870.75,80811,1
2019-01-31,10:59:00,6895.25,6943,6942,6892.5,61059,0
2019-01-31,11:59:00,6942.25,6942.25,6917.25,6908.75,51499,0
2019-01-31,12:59:00,6917.5,6927.5,6916.25,6899.25,41434,0
2019-01-31,13:59:00,6916.5,6923.25,6909.5,6901.5,40052,0
2019-01-31,14:59:00,6909.75,6917.75,6916,6883,67644,0
2019-01-31,15:59:00,6915.75,6936.75,6932.25,6893.75,44662,0
2019-01-31,16:00:00,6932.75,6933.25,6932.5,6930.25,98,0
2019-01-31,17:59:00,6911,6911,6891.25,6888,5838,0
2019-01-31,18:59:00,6891.25,6908.25,6899.75,6890,6301,0
2019-01-31,19:59:00,6900,6911.25,6885.25,6881.25,9078,0
2019-01-31,20:59:00,6885.5,6891,6887.25,6876.75,6725,0
2019-01-31,21:59:00,6887,6894,6888.5,6883.75,2620,0
2019-01-31,22:59:00,6888,6890.75,6884,6883.5,1647,0
2019-01-31,23:59:00,6884.25,6890.5,6882.25,6873.5,3547,0
2019-02-01,00:59:00,6882,6892,6891.25,6878.5,2179,0
2019-02-01,01:59:00,6891.5,6903.25,6898.75,6891.25,3635,0
2019-02-01,02:59:00,6898.75,6903,6889.75,6888.25,5486,0
2019-02-01,03:59:00,6890.25,6893.75,6887.5,6882.75,4944,0
2019-02-01,04:59:00,6887.5,6892.75,6884.5,6881,3096,0
2019-02-01,05:59:00,6884.75,6890,6881.25,6878.25,4290,0
2019-02-01,06:59:00,6881,6886.5,6872,6871.75,6801,0
2019-02-01,07:59:00,6872,6899.5,6888,6862.25,22160,0
2019-02-01,08:59:00,6888.25,6913.5,6876.75,6871.25,78442,0
2019-02-01,09:59:00,6877.5,6927.5,6900.5,6876,85121,0
2019-02-01,10:59:00,6900.75,6921.5,6917,6886.25,44457,0
2019-02-01,11:59:00,6917,6919,6893.25,6886.25,37568,0
2019-02-01,12:59:00,6893.25,6898.5,6883.5,6870.75,33623,0
2019-02-01,13:59:00,6883.5,6885.5,6865.5,6862.25,35121,0
2019-02-01,14:59:00,6865.5,6881.25,6877.75,6860.5,39609,0
2019-02-01,15:59:00,6877.75,6882.5,6879,6874.25,12623,0
2019-02-01,16:00:00,6879.5,6880.25,6880.25,6878.5,35,0
2019-02-03,17:59:00,6863.75,6880.75,6878,6858.25,2850,0
2019-02-03,18:59:00,6878,6895,6889,6877.5,3745,0
2019-02-03,19:59:00,6889,6897,6891.25,6881.25,3266,0
2019-02-03,20:59:00,6891.25,6896,6889.75,6888,1810,0
2019-02-03,21:59:00,6890,6891.75,6886.75,6883,1437,0
2019-02-03,22:59:00,6886.5,6887.75,6884,6880.75,1455,0
2019-02-03,23:59:00,6883.75,6884.75,6879.75,6876.5,1895,0
2019-02-04,00:59:00,6879.75,6885.5,6884.5,6877.5,1379,0
2019-02-04,01:59:00,6884.75,6884.75,6873.75,6868.75,3151,0
2019-02-04,02:59:00,6874,6884.25,6871.25,6865,5101,0
2019-02-04,03:59:00,6871.25,6888.25,6884.75,6870.75,3018,0
2019-02-04,04:59:00,6884.5,6892.5,6881,6879,2613,0
2019-02-04,05:59:00,6881,6883.75,6880.25,6877.25,2154,0
2019-02-04,06:59:00,6880,6887,6885.5,6878.25,6465,0
2019-02-04,07:59:00,6885.75,6886.75,6873.75,6869,6853,1
2019-02-04,08:59:00,6873.75,6910.75,6908.5,6872.75,57915,0
2019-02-04,09:59:00,6908.75,6936,6925.75,6892.75,69522,0
2019-02-04,10:59:00,6925.5,6949.25,6944.25,6925.5,48880,0
2019-02-04,11:59:00,6944.25,6947.5,6943,6938.5,21556,0
2019-02-04,12:59:00,6943.25,6954.25,6952.25,6939.5,20371,0
2019-02-04,13:59:00,6952.25,6957.75,6951.25,6945.25,20554,0
2019-02-04,14:59:00,6951.25,6957.25,6955.5,6941,32372,0
2019-02-04,15:59:00,6955.5,6983,6941.25,6934.5,27645,0
2019-02-04,16:00:00,6941.5,6946.25,6945.25,6941.5,221,0
2019-02-04,17:59:00,6937.5,6942.75,6937.75,6932,2362,0
2019-02-04,18:59:00,6937.5,6944,6930.5,6928.25,3558,0
2019-02-04,19:59:00,6930,6934.5,6931.5,6929,2291,0
2019-02-04,20:59:00,6931.25,6934.5,6934,6930,973,0
