mini_russell_date,mini_russell_time,mini_russell_open,mini_russell_high,mini_russell_close,mini_russell_low,mini_russell_volume,predict
2019-12-04,19:59:00,1613.6,1616.6,1613.9,1611.8,1125,0
2019-12-04,20:59:00,1613.9,1614.6,1613.1,1613.1,325,0
2019-12-04,21:59:00,1613.2,1613.5,1613.4,1612.5,332,0
2019-12-04,22:59:00,1613.5,1614.4,1613.7,1613.3,293,0
2019-12-04,23:59:00,1613.7,1614.1,1612.8,1612.6,239,0
2019-12-05,00:59:00,1612.8,1615,1615,1612.8,290,0
2019-12-05,01:59:00,1615.1,1618,1617.8,1614.1,1594,0
2019-12-05,02:59:00,1617.9,1618.1,1616.8,1615.1,1526,0
2019-12-05,03:59:00,1616.8,1618,1618,1614.8,797,0
2019-12-05,04:59:00,1618,1621.5,1619.9,1616.9,1708,0
2019-12-05,05:59:00,1619.8,1622,1620.4,1619.5,1126,0
2019-12-05,06:59:00,1620.4,1621.3,1619.7,1619.4,1299,0
2019-12-05,07:59:00,1619.7,1620,1619,1617.6,2189,0
2019-12-05,08:59:00,1618.9,1622.7,1616.5,1616,14095,0
2019-12-05,09:59:00,1616.5,1618.5,1617.5,1610.9,16174,0
2019-12-05,10:59:00,1617.6,1619.5,1616.1,1615.6,9084,0
2019-12-05,11:59:00,1616.1,1617.8,1613.5,1613.1,6993,0
2019-12-05,12:59:00,1613.4,1616.1,1613.5,1613,5869,0
2019-12-05,13:59:00,1613.5,1615.7,1612.6,1610.6,8933,0
2019-12-05,14:59:00,1612.5,1616.7,1615.3,1611.9,13542,0
2019-12-05,15:59:00,1615.2,1617.4,1617.2,1614.8,13157,0
2019-12-05,16:00:00,1617.3,1617.4,1617.3,1617.2,28,0
2019-12-05,17:59:00,1617,1617.9,1617.5,1616.3,510,0
2019-12-05,18:59:00,1617.5,1619.9,1619.7,1617.5,680,0
2019-12-05,19:58:00,1619.5,1620,1619.5,1618.4,497,0
2019-12-05,20:59:00,1619.4,1619.6,1617.6,1617.4,294,0
2019-12-05,21:58:00,1617.5,1619.1,1618.7,1617.5,182,0
2019-12-05,22:59:00,1618.9,1619.1,1618.7,1618.6,137,0
2019-12-05,23:59:00,1618.8,1619.1,1618.3,1617.9,185,0
2019-12-06,00:59:00,1618.2,1622.3,1620.5,1618.2,661,0
2019-12-06,01:59:00,1620.5,1620.9,1620.4,1619.6,449,0
2019-12-06,02:59:00,1620.4,1621,1619.9,1618.4,1131,0
2019-12-06,03:59:00,1619.8,1621,1620.7,1619.6,727,0
2019-12-06,04:59:00,1620.6,1621.1,1619.9,1619.2,817,0
2019-12-06,05:59:00,1620,1621.4,1621.3,1619.8,725,0
2019-12-06,06:59:00,1621.3,1621.4,1620.2,1619.2,965,0
2019-12-06,07:59:00,1620.3,1632.2,1630.4,1616.8,11396,0
2019-12-06,08:59:00,1630.4,1637.2,1635.9,1630,18804,0
2019-12-06,09:59:00,1635.9,1640.3,1639.1,1635.2,20948,0
2019-12-06,10:59:00,1639.1,1639.6,1637.6,1636.6,9446,0
2019-12-06,11:59:00,1637.6,1637.8,1636.5,1635.5,7699,0
2019-12-06,12:59:00,1636.4,1636.8,1634.2,1633.9,6463,0
2019-12-06,13:59:00,1634.3,1636.4,1635.6,1633.4,6048,0
2019-12-06,14:59:00,1635.7,1636.9,1634,1633.3,16490,0
2019-12-06,15:59:00,1634,1636.7,1636.3,1633.6,14791,0
2019-12-06,16:00:00,1636.2,1636.7,1636.7,1636.1,32,0
2019-12-08,17:58:00,1636.6,1637.7,1635.9,1635.9,546,0
2019-12-08,18:59:00,1635.9,1636,1632.5,1631.7,1164,0
2019-12-08,19:59:00,1632.7,1633.3,1632,1631.7,781,0
2019-12-08,20:59:00,1631.8,1633.7,1633.3,1631.8,400,0
2019-12-08,21:59:00,1633.2,1633.3,1632.4,1632,255,0
2019-12-08,22:59:00,1632.4,1632.6,1632.3,1632,180,0
2019-12-08,23:58:00,1632.3,1632.5,1632.2,1631.7,228,0
2019-12-09,00:59:00,1632.1,1634.1,1633.7,1631.9,539,0
2019-12-09,01:59:00,1633.8,1634.2,1633.9,1633,423,0
2019-12-09,02:59:00,1633.9,1634.2,1632.5,1632.5,1111,0
2019-12-09,03:59:00,1632.5,1632.6,1632.3,1630.7,807,0
2019-12-09,04:59:00,1632.3,1633.3,1633.3,1631.8,651,0
2019-12-09,05:59:00,1633.2,1633.4,1631.7,1631.3,676,0
2019-12-09,06:59:00,1631.7,1633.7,1633.2,1631.7,753,0
2019-12-09,07:59:00,1633.2,1633.8,1632.9,1632.5,1711,0
2019-12-09,08:59:00,1633,1636.9,1635.7,1631.9,13245,0
2019-12-09,09:59:00,1635.7,1637.8,1637,1634.7,10094,0
2019-12-09,10:59:00,1637.1,1637.3,1633.7,1633.7,6525,0
2019-12-09,11:59:00,1633.7,1636,1633.7,1632.9,5869,0
2019-12-09,12:59:00,1633.8,1634.5,1633.7,1632.4,3997,0
2019-12-09,13:59:00,1633.7,1634.1,1632.9,1630.9,5880,0
2019-12-09,14:59:00,1632.9,1633.8,1631.6,1631.3,12410,0
2019-12-09,15:59:00,1631.5,1631.6,1629.4,1628.6,17094,0
2019-12-09,16:00:00,1629.6,1629.7,1629.7,1629.6,11,0
2019-12-09,17:59:00,1630,1631.3,1630.5,1629.6,447,0
2019-12-09,18:59:00,1630.6,1631.5,1630.9,1629.9,509,0
2019-12-09,19:59:00,1630.9,1631.2,1630.6,1629.6,486,0
2019-12-09,20:58:00,1630.5,1632.2,1631.7,1630.2,435,0
2019-12-09,21:59:00,1632,1632.3,1631.8,1631.4,140,0
2019-12-09,22:59:00,1631.6,1631.7,1630.9,1630.9,190,0
2019-12-09,23:59:00,1630.8,1631.5,1631.3,1630.8,178,0
2019-12-10,00:59:00,1631.2,1632.1,1630.8,1630.7,411,0
2019-12-10,01:58:00,1630.7,1631.8,1631.3,1630.6,277,0
2019-12-10,02:59:00,1631.1,1631.2,1623.5,1622.7,1965,0
2019-12-10,03:59:00,1623.4,1624,1622.8,1621.7,1295,0
2019-12-10,04:59:00,1622.7,1625.5,1624.6,1622.5,850,0
2019-12-10,05:59:00,1624.6,1624.6,1623.5,1619.1,1720,0
2019-12-10,06:59:00,1623.5,1624,1623.3,1622.4,973,0
2019-12-10,07:59:00,1623.2,1634.4,1631.3,1623,7396,0
2019-12-10,08:59:00,1631.4,1632,1629.9,1625.6,12690,0
2019-12-10,09:59:00,1630,1635.3,1634.2,1629.4,13444,0
2019-12-10,10:59:00,1634.3,1636,1632.4,1631.6,9639,0
2019-12-10,11:59:00,1632.5,1633.6,1632.7,1631.1,5456,0
2019-12-10,12:59:00,1632.6,1633.4,1632,1631.5,4110,0
2019-12-10,13:59:00,1632.1,1633.1,1631.9,1631.6,4875,0
2019-12-10,14:59:00,1631.9,1632.4,1631.3,1627.6,12980,0
2019-12-10,15:59:00,1631.4,1634.1,1634,1631.4,9660,0
2019-12-10,16:00:00,1634.1,1634.3,1634.3,1634,10,0
2019-12-10,17:59:00,1633.9,1634.9,1632.4,1632.3,665,0
