mini_sp_date,mini_sp_time,mini_sp_open,mini_sp_high,mini_sp_close,mini_sp_low,mini_sp_volume,predict
2019-01-16,11:59:00,2617,2621.5,2621,2614,108185,0
2019-01-16,12:59:00,2621,2622,2621,2617.5,57915,0
2019-01-16,13:59:00,2620.75,2626.25,2621.5,2620.75,104888,0
2019-01-16,14:59:00,2621.25,2625.25,2616,2615.75,171188,0
2019-01-16,15:59:00,2616,2618,2615.25,2612.5,118689,0
2019-01-16,16:00:00,2615.25,2615.75,2615,2614.75,516,0
2019-01-16,17:59:00,2614.5,2616,2612,2611.75,8965,0
2019-01-16,18:59:00,2611.75,2612.75,2611.25,2609,11359,0
2019-01-16,19:59:00,2611.25,2614.25,2605.75,2604.25,21425,0
2019-01-16,20:59:00,2605.75,2608.75,2608,2603.25,17378,0
2019-01-16,21:59:00,2608,2609,2607.75,2605.75,8871,0
2019-01-16,22:59:00,2607.5,2608.25,2606.25,2606,4431,0
2019-01-16,23:59:00,2606.5,2606.5,2604.75,2603.75,6750,0
2019-01-17,00:59:00,2605,2606,2601.75,2601.25,8213,0
2019-01-17,01:59:00,2601.75,2605,2599.25,2598.25,18213,0
2019-01-17,02:59:00,2599.25,2604.25,2604.25,2596.5,23897,0
2019-01-17,03:59:00,2604.25,2605.25,2600.5,2598.5,16339,0
2019-01-17,04:59:00,2600.5,2606.25,2606,2600.5,11810,0
2019-01-17,05:59:00,2606,2607.25,2604.5,2603.25,9660,0
2019-01-17,06:59:00,2604.25,2605.75,2602.5,2600.25,19918,0
2019-01-17,07:59:00,2602.5,2609,2606.25,2602.25,30747,0
2019-01-17,08:59:00,2606.25,2617.75,2616.75,2604.75,165156,0
2019-01-17,09:59:00,2617,2618.75,2617.25,2611.25,156509,0
2019-01-17,10:59:00,2617,2623,2621.25,2616.75,121655,0
2019-01-17,11:59:00,2621.5,2623,2619,2617.75,69678,0
2019-01-17,12:59:00,2618.75,2625.75,2624.25,2618.75,74791,0
2019-01-17,13:59:00,2624.25,2645.5,2633.5,2621,319484,0
2019-01-17,14:59:00,2633.5,2637,2635,2625.25,243149,0
2019-01-17,15:59:00,2634.75,2639.75,2638,2632.5,107958,0
2019-01-17,16:00:00,2638,2638.5,2638.25,2637.75,671,0
2019-01-17,17:59:00,2636.75,2637.25,2634.25,2632.75,8695,0
2019-01-17,18:59:00,2634,2644,2638.75,2632.75,20130,0
2019-01-17,19:59:00,2639,2644.75,2643.25,2638.75,14953,0
2019-01-17,20:59:00,2643.25,2644.75,2642.25,2641.5,7389,0
2019-01-17,21:59:00,2642.25,2644,2642.5,2642,4720,0
2019-01-17,22:59:00,2642.25,2642.5,2641,2640.5,4389,0
2019-01-17,23:59:00,2641,2641.75,2641.75,2640.25,3460,0
2019-01-18,00:59:00,2641.75,2642.75,2642,2641.25,3726,0
2019-01-18,01:59:00,2642.25,2642.75,2640,2638.75,9754,0
2019-01-18,02:59:00,2640,2643.75,2643,2639,17710,0
2019-01-18,03:59:00,2642.75,2644.75,2643,2641,12526,0
2019-01-18,04:59:00,2643,2644.5,2641.75,2639.25,16527,0
2019-01-18,05:59:00,2641.75,2648.5,2647.5,2641,20585,0
2019-01-18,06:59:00,2647.75,2649.25,2647,2645.75,28439,0
2019-01-18,07:59:00,2647.25,2649.75,2649,2645,33689,0
2019-01-18,08:59:00,2649,2657.75,2650,2647.5,275453,0
2019-01-18,09:59:00,2650,2663.75,2662.25,2647,283601,0
2019-01-18,10:59:00,2662.5,2671,2670.5,2661.5,183747,0
2019-01-18,11:59:00,2670.5,2676.5,2674,2668.25,190927,0
2019-01-18,12:59:00,2674.25,2675.5,2670.5,2666,111094,0
2019-01-18,13:59:00,2670.5,2671.5,2666.75,2662,112974,0
2019-01-18,14:59:00,2666.75,2670.75,2668,2663.5,157001,0
2019-01-18,15:59:00,2668,2677.5,2677.25,2667.75,141117,0
2019-01-18,16:00:00,2677,2677.75,2677,2676.25,794,0
2019-01-20,17:59:00,2669.25,2673.5,2668,2667.25,6548,0
2019-01-20,18:59:00,2668.25,2669.25,2667.5,2665.75,7219,0
2019-01-20,19:59:00,2667.75,2668,2664.5,2660.75,14405,0
2019-01-20,20:59:00,2664.25,2667.5,2666,2663,8692,0
2019-01-20,21:59:00,2666,2666.5,2663.75,2663.75,3799,0
2019-01-20,22:59:00,2664,2665,2664.75,2662.75,3574,0
2019-01-20,23:59:00,2665,2667,2664,2662.5,6075,0
2019-01-21,00:59:00,2664,2665.5,2665.25,2664,2351,0
2019-01-21,01:59:00,2665.25,2665.75,2664.5,2663.75,5295,0
