soybean_date,soybean_time,soybean_open,soybean_high,soybean_close,soybean_low,soybean_volume,predict
2020-12-11,08:59:00,1156,1157.25,1153.25,1151,10953,0
2020-12-11,09:59:00,1153.25,1160.25,1157.75,1152.75,20384,0
2020-12-11,10:59:00,1157.75,1162.75,1161.25,1157.25,13701,0
2020-12-11,11:59:00,1161,1162,1160,1158.25,7678,0
2020-12-11,12:59:00,1159.75,1160.25,1159,1158,6271,0
2020-12-11,13:20:00,1159,1161.75,1161.5,1158.75,4285,1
2020-12-13,19:59:00,1164.75,1171.25,1169.25,1162.5,4908,0
2020-12-13,20:59:00,1169.25,1171.25,1171,1169,1162,0
2020-12-13,21:59:00,1171,1171.25,1167.75,1167.5,916,0
2020-12-13,22:58:00,1168,1169,1169,1167.75,150,0
2020-12-13,23:57:00,1169,1169.5,1169,1167.5,391,0
2020-12-14,00:59:00,1169.25,1170.5,1169.75,1167.75,933,0
2020-12-14,01:59:00,1169.75,1170.75,1169.25,1169,647,0
2020-12-14,02:59:00,1169,1172.25,1170,1169,1135,0
2020-12-14,03:59:00,1169.75,1171.25,1170,1169.25,842,0
2020-12-14,04:59:00,1170.25,1171.25,1171.25,1168.25,811,0
2020-12-14,05:59:00,1171.25,1171.5,1170.25,1169.5,748,0
2020-12-14,06:59:00,1170.25,1173,1172.75,1169.5,1389,0
2020-12-14,07:45:00,1172.75,1173,1172.5,1171,1124,0
2020-12-14,08:59:00,1172,1172.5,1164,1162.75,13707,0
2020-12-14,09:59:00,1163.75,1165,1164,1161.25,18626,0
2020-12-14,10:59:00,1164,1165,1164.25,1163,6638,0
2020-12-14,11:59:00,1164.5,1168,1167.75,1164.25,9080,0
2020-12-14,12:59:00,1167.75,1169.5,1168.25,1167.5,5256,0
2020-12-14,13:20:00,1168.25,1170.75,1169.75,1167.25,5606,0
2020-12-14,19:59:00,1170.75,1172,1166.75,1166.25,3161,0
2020-12-14,20:59:00,1166.75,1168.25,1165.5,1165.5,735,0
2020-12-14,21:59:00,1165.25,1166,1164.25,1162,1342,0
2020-12-14,22:58:00,1164.25,1165.25,1164.5,1163.75,396,0
2020-12-14,23:58:00,1164.5,1165.75,1165.5,1163.5,353,0
2020-12-15,00:59:00,1165,1167.5,1166.5,1163.75,1061,0
2020-12-15,01:59:00,1166.5,1168,1164.75,1164.5,568,0
2020-12-15,02:59:00,1165,1166,1165.5,1162,856,0
2020-12-15,03:59:00,1165.5,1166.25,1165.25,1164.5,289,0
2020-12-15,04:59:00,1165,1165.75,1165,1163.25,444,0
2020-12-15,05:59:00,1165.25,1165.25,1162.25,1162,465,0
2020-12-15,06:59:00,1162.5,1165.75,1164.75,1162.5,673,0
2020-12-15,07:45:00,1164.75,1166.25,1164,1163.5,1261,0
2020-12-15,08:59:00,1164,1168.75,1163.75,1163.5,8295,1
2020-12-15,09:59:00,1163.5,1173.5,1173.25,1163.25,24184,0
2020-12-15,10:59:00,1173.25,1179,1178,1171.5,12618,0
2020-12-15,11:59:00,1178,1179.75,1177.5,1176.75,15026,0
2020-12-15,12:59:00,1177.5,1183.75,1183.25,1176.75,16142,0
2020-12-15,13:20:00,1183.25,1185.75,1185.75,1182.5,5398,0
2020-12-15,19:59:00,1187,1187.25,1183.5,1182.5,3795,0
2020-12-15,20:59:00,1183.25,1186.5,1186,1183.25,751,0
2020-12-15,21:58:00,1186,1187.75,1186.5,1185.75,677,0
2020-12-15,22:58:00,1186.5,1186.75,1185.75,1185.5,369,0
2020-12-15,23:59:00,1186,1187.25,1185.75,1184.75,463,0
2020-12-16,00:59:00,1186,1187.75,1187.25,1185.75,809,0
2020-12-16,01:59:00,1187.25,1190.5,1190.25,1186.75,1144,0
2020-12-16,02:59:00,1190.25,1192.25,1190.25,1189.5,1314,0
2020-12-16,03:59:00,1190.25,1191.25,1190,1189.5,791,0
2020-12-16,04:59:00,1189.75,1191.5,1190.75,1189.5,556,0
2020-12-16,05:59:00,1190.75,1191,1189.25,1189,1955,0
2020-12-16,06:59:00,1189.25,1194,1193,1188.75,1642,0
2020-12-16,07:45:00,1193,1193.5,1191.75,1191.25,2095,0
