tf_date,tf_time,tf_open,tf_high,tf_close,tf_low,tf_volume,predict
2020-10-23,13:45:00,1186.8,1188,1185.8,1185.4,113,0
2020-10-26,08:59:00,1188.8,1189.2,1188.2,1188.2,32,1
2020-10-26,09:59:00,1187.8,1201.8,1194.8,1187.8,615,0
2020-10-26,10:51:00,1195.4,1198,1195.8,1195,188,0
2020-10-26,11:59:00,1196.4,1197,1196,1195.4,55,0
2020-10-26,12:57:00,1195.6,1197.6,1196.8,1195.6,64,0
2020-10-26,13:45:00,1196.6,1198.2,1196.2,1196,114,0
2020-10-27,08:59:00,1192.2,1194,1190.8,1190.2,83,0
2020-10-27,09:59:00,1190.8,1192.2,1190.8,1188.6,233,0
2020-10-27,10:54:00,1190.2,1190.6,1189.2,1188.8,72,0
2020-10-27,11:53:00,1189.2,1190.4,1189.8,1188.8,35,0
2020-10-27,12:50:00,1190.4,1190.4,1190,1189.4,36,0
2020-10-27,13:45:00,1190,1190.6,1189.4,1188.2,72,0
2020-10-28,08:59:00,1187.6,1187.6,1184.8,1182.6,47,0
2020-10-28,09:59:00,1185.2,1188.8,1186.6,1182.8,342,0
2020-10-28,10:59:00,1186.6,1186.6,1182.4,1180.8,492,0
2020-10-28,11:58:00,1182.4,1186,1185.2,1182.4,134,0
2020-10-28,12:58:00,1185.2,1185.4,1185.4,1184.2,78,0
2020-10-28,13:45:00,1185,1188.6,1187.2,1183.2,304,0
2020-10-29,08:59:00,1173.8,1179.4,1177,1172,104,0
2020-10-29,09:59:00,1177,1182.6,1179.4,1173.4,601,0
2020-10-29,10:59:00,1179.8,1181,1180,1178.6,84,0
2020-10-29,11:59:00,1180.4,1180.8,1175.2,1172.8,234,0
2020-10-29,12:58:00,1175,1178,1177.6,1175,81,0
2020-10-29,13:45:00,1177.2,1179,1178.6,1176.2,141,0
2020-10-30,08:59:00,1173.6,1174.8,1173,1170.8,67,0
2020-10-30,09:55:00,1172.4,1176,1172.6,1165.8,378,0
2020-10-30,10:58:00,1172.6,1173.4,1172.6,1171.2,78,0
2020-10-30,11:59:00,1172.6,1175,1172,1171.4,165,0
2020-10-30,12:59:00,1172,1174.4,1173.2,1171.6,103,0
2020-10-30,13:45:00,1172.8,1172.8,1166.6,1166.4,195,1
2020-11-02,08:57:00,1169.2,1173.2,1173.2,1169.2,27,0
2020-11-02,09:56:00,1173,1179.6,1178.6,1170.6,391,0
2020-11-02,10:59:00,1177.8,1179,1178.2,1175.8,128,0
2020-11-02,11:58:00,1178,1181.2,1179,1177.8,169,0
2020-11-02,12:59:00,1179.2,1182,1181.4,1178.8,140,0
2020-11-02,13:45:00,1181.6,1188.8,1186,1181.6,331,1
2020-11-03,08:59:00,1191.8,1194,1193,1189,56,0
2020-11-03,09:59:00,1192.2,1196,1194.4,1188,499,0
2020-11-03,10:59:00,1194.2,1198,1197,1193.4,428,0
2020-11-03,11:58:00,1196.4,1196.8,1195.8,1194.2,107,0
2020-11-03,12:55:00,1195.8,1196.2,1195.4,1194.4,45,0
2020-11-03,13:45:00,1195.6,1196.6,1196,1193.8,196,0
2020-11-04,08:59:00,1201.6,1202.8,1196.2,1196,60,0
2020-11-04,09:59:00,1196.6,1198,1197.4,1190.2,454,0
2020-11-04,10:59:00,1196.8,1202,1197,1196,441,0
2020-11-04,11:59:00,1197.8,1204.6,1198.6,1195.6,468,0
2020-11-04,12:57:00,1199.2,1201.2,1198.8,1196.4,157,0
2020-11-04,13:45:00,1200.8,1202,1202,1199.4,181,0
2020-11-05,08:59:00,1207,1207,1203.4,1201.6,104,0
2020-11-05,09:59:00,1203.4,1211,1206.8,1201.6,420,0
2020-11-05,10:59:00,1207.4,1207.6,1206,1203.6,116,0
2020-11-05,11:59:00,1205.6,1206.6,1204.8,1204.6,52,0
2020-11-05,12:55:00,1205,1205.4,1204.6,1203.6,69,0
2020-11-05,13:45:00,1204.2,1206.4,1204.8,1204.2,77,0
2020-11-06,08:58:00,1209,1209,1207,1204.4,70,0
2020-11-06,09:59:00,1206.6,1208.4,1208.4,1203.8,234,0
2020-11-06,10:59:00,1208,1214.4,1213.6,1207.6,270,0
2020-11-06,11:59:00,1213.8,1213.8,1211.4,1211.4,78,0
2020-11-06,12:56:00,1211.2,1212.4,1211,1210.2,93,0
2020-11-06,13:45:00,1211,1215,1215,1211,206,1
