tx_date,tx_time,tx_open,tx_high,tx_close,tx_low,tx_volume,predict
2021-03-09,18:58:00,795,795.4,794.8,794.5,20,0
2021-03-09,19:54:00,794.8,796.65,795.9,794.8,17,0
2021-03-09,20:52:00,796,796.25,795.05,795.05,23,0
2021-03-09,21:58:00,795.1,795.5,795.5,793.7,46,0
2021-03-09,22:57:00,795.7,798.15,798,794.8,75,0
2021-03-09,23:56:00,797.9,799.15,797.6,797.25,71,0
2021-03-10,00:54:00,798.1,799.7,799.4,797.65,16,0
2021-03-10,01:52:00,799.65,800.85,800.2,799.65,31,0
2021-03-10,02:59:00,800.7,801.15,801.15,800.5,5,0
2021-03-10,03:52:00,801.55,801.95,801.8,800.5,19,0
2021-03-10,04:59:00,801.8,802,800.8,799.9,39,0
2021-03-10,05:00:00,800.95,800.95,800.95,800.95,1,0
2021-03-10,08:59:00,801,802,799.7,799,213,1
2021-03-10,09:59:00,799.35,801.5,794,793.35,560,0
2021-03-10,10:59:00,794.4,795.55,795.05,791.15,361,0
2021-03-10,11:57:00,794.75,796,795.2,794.15,152,0
2021-03-10,12:55:00,794.75,795.1,793,791.65,276,0
2021-03-10,13:45:00,792.6,795.7,794.8,790.85,249,0
2021-03-10,15:53:00,795.1,796.3,796,793.65,24,0
2021-03-10,16:30:00,796.15,797.6,797.1,796.15,24,0
2021-03-10,17:48:00,797.2,799.3,799.2,797.2,32,0
2021-03-10,18:52:00,799.4,799.4,797.9,797.9,19,0
2021-03-10,19:58:00,797.9,798.4,797.5,796.9,21,0
2021-03-10,20:59:00,798.15,798.2,797.5,797.5,5,0
2021-03-10,21:57:00,798.15,800.65,800.55,798.15,87,0
2021-03-10,22:59:00,800.75,801.85,799.7,799.7,73,0
2021-03-10,23:58:00,799.05,799.6,796.95,794.85,134,0
2021-03-11,00:57:00,797,797.05,795.45,794.15,26,0
2021-03-11,01:58:00,795.45,797.5,797,794.35,113,0
2021-03-11,02:49:00,796.4,796.4,795.4,795.4,7,0
2021-03-11,03:50:00,795.4,797.3,797.3,795.4,9,0
2021-03-11,04:57:00,797.3,797.3,796,796,12,0
2021-03-11,05:00:00,796,796.55,796.55,796,3,0
2021-03-11,08:59:00,796.95,798.2,797.95,796.2,166,0
2021-03-11,09:59:00,798.3,809.9,809.6,797.1,1139,0
2021-03-11,10:59:00,809.55,812.55,811.2,807.65,628,0
2021-03-11,11:59:00,811.55,815.35,814.7,811,422,0
2021-03-11,12:59:00,814.9,815.9,814.3,813.8,372,0
2021-03-11,13:45:00,814.3,815.3,814.65,813,360,0
2021-03-11,15:59:00,814.25,815.35,814.15,813.3,71,0
2021-03-11,16:59:00,814.25,814.5,814.5,813.85,17,0
2021-03-11,17:59:00,815.25,815.95,815.25,815.1,19,0
2021-03-11,18:44:00,815,815.25,815.25,814.7,7,0
2021-03-11,19:56:00,815.3,815.3,815.1,815,7,0
2021-03-11,20:59:00,814.9,816.45,816.45,814.35,36,0
2021-03-11,21:48:00,816.45,817,815.25,815.2,48,0
2021-03-11,22:57:00,815.35,816.25,814.6,813,83,0
2021-03-11,23:58:00,815.55,817.4,817.4,814.4,62,0
2021-03-12,00:59:00,817.45,819.95,819.65,817.45,52,0
2021-03-12,01:55:00,819.2,819.95,818.9,818.9,16,0
2021-03-12,02:48:00,818.9,819.15,819.1,818.8,7,0
2021-03-12,03:51:00,819.5,819.95,819.5,819.5,9,0
2021-03-12,04:59:00,819.35,819.95,819.75,818.85,21,0
2021-03-12,05:00:00,819.95,820,820,819.95,5,0
2021-03-12,08:59:00,821.3,821.3,819.2,818.2,132,0
2021-03-12,09:59:00,818.9,823.45,816.25,815.2,906,0
2021-03-12,10:58:00,816,818.45,814.45,813.35,243,0
2021-03-12,11:58:00,814.85,817.95,817.4,814.5,168,0
2021-03-12,12:58:00,817.6,818.1,817.35,815.5,125,0
2021-03-12,13:45:00,817.7,818.8,817.5,816,213,1
2021-03-12,15:55:00,814.25,814.5,812.95,812.05,58,0
2021-03-12,16:58:00,812.5,812.5,811.15,809.5,64,0
2021-03-12,17:39:00,810.35,811,809.85,809,32,0
2021-03-12,18:45:00,810.2,811.3,811,810.2,4,0
2021-03-12,19:41:00,810.1,810.45,810.45,810.1,2,0
2021-03-12,20:54:00,811,812.8,812.8,811,21,0
2021-03-12,21:49:00,812.8,813.6,812,812,30,0
2021-03-12,22:54:00,812,813.15,813,810.95,8,0
2021-03-12,23:50:00,812.35,812.35,811.5,810.7,8,0
2021-03-13,00:12:00,811,811,811,811,3,0
2021-03-13,03:59:00,813,813,813,813,2,0
2021-03-13,04:54:00,813,814.85,813.85,813,23,0
2021-03-13,05:00:00,814,814,814,814,1,0
2021-03-15,08:59:00,816.5,817.1,815.05,813.55,160,0
2021-03-15,09:59:00,815.05,817.65,815.55,812.25,543,0
2021-03-15,10:59:00,815.3,817.35,815.35,814.3,272,0
2021-03-15,11:56:00,815.2,816.2,815.9,814.1,159,0
2021-03-15,12:59:00,815.6,817.3,816.55,814.35,183,0
2021-03-15,13:45:00,816.8,817.95,816.2,815.55,248,0
2021-03-15,15:54:00,814.75,815.1,815.1,814,5,0
2021-03-15,16:33:00,815.75,816.3,816.3,815.75,4,0
2021-03-15,17:51:00,816.75,817.3,817.15,816.75,11,0
2021-03-15,18:56:00,817.2,817.2,816.55,816.4,9,0
2021-03-15,19:44:00,816.5,816.8,816.2,816.2,9,0
2021-03-15,20:56:00,815.5,816,815.8,814.9,15,0
2021-03-15,21:54:00,816.4,816.4,816.2,814.7,18,0
2021-03-15,22:51:00,815.6,816.25,815.8,815.2,14,0
2021-03-15,23:59:00,816,816,814.1,813.05,37,0
2021-03-16,00:59:00,814.15,815,814.95,814,9,0
2021-03-16,01:53:00,815,815.7,815.7,815,5,0
2021-03-16,02:47:00,816,817.2,816.95,816,19,0
2021-03-16,03:58:00,816.95,817.95,817.8,816.5,11,0
2021-03-16,04:58:00,818.25,819.35,819.35,818.25,28,0
2021-03-16,08:59:00,819,819.6,818.15,817.1,70,0
2021-03-16,09:59:00,818,821.9,818.8,817,542,0
2021-03-16,10:59:00,818.5,818.9,818.5,817.2,201,0
2021-03-16,11:59:00,819,824.65,824.55,818.95,421,1
2021-03-16,12:59:00,824.35,825,819.55,818.5,400,0
2021-03-16,13:45:00,819.9,822.4,821.7,819.6,162,0
2021-03-16,15:56:00,822.1,823.5,822.4,822.1,19,0
2021-03-16,16:57:00,822.25,822.75,821.75,821.75,10,0
2021-03-16,17:10:00,822.3,822.55,822.55,822.3,3,0
2021-03-16,18:40:00,822.5,823.05,823,822.5,7,0
2021-03-16,19:31:00,823.75,824,823.4,823.3,16,0
2021-03-16,20:36:00,824.25,824.5,823.4,823.1,9,0
2021-03-16,21:53:00,823.4,824.8,824.5,823.3,13,0
2021-03-16,22:44:00,824.9,826.4,825.8,824.6,39,0
2021-03-16,23:59:00,825.75,826.45,826.45,825.55,13,0
2021-03-17,00:49:00,826.45,826.45,824.8,824.05,15,0
2021-03-17,01:56:00,824.3,824.3,823.8,823.8,7,0
2021-03-17,02:57:00,823.7,823.8,823,822.05,27,0
2021-03-17,03:58:00,822.6,823.8,823.8,822.6,8,0
2021-03-17,04:44:00,823.8,824.15,823.45,823.45,7,0
2021-03-17,08:59:00,824.7,824.7,822.45,820.5,46,0
2021-03-17,09:59:00,822.5,825,824.25,819.8,231,0
2021-03-17,10:59:00,824.2,825.9,823.4,822.75,135,0
2021-03-17,11:58:00,823.05,823.5,820.9,819.45,137,1
2021-03-17,12:59:00,820.25,820.8,815.85,815.2,268,0
2021-03-17,13:29:00,815.75,817.05,815.45,815,291,0
2021-03-17,15:58:00,813.25,813.5,812.5,812.1,48,0
2021-03-17,16:47:00,812.8,813.5,813.2,812.6,27,0
2021-03-17,17:58:00,813,813.4,812.8,812.8,19,0
2021-03-17,18:59:00,813.05,813.2,812.6,812.4,28,0
