wheat_date,wheat_time,wheat_open,wheat_high,wheat_close,wheat_low,wheat_volume,predict
2021-03-17,08:59:00,644.75,646.25,642.75,641.5,5131,1
2021-03-17,09:59:00,643,648,646.5,641.75,4672,0
2021-03-17,10:59:00,646.75,647.25,642.25,641.75,3556,0
2021-03-17,11:59:00,642.25,645,643.5,642.25,2601,0
2021-03-17,12:59:00,643.5,643.75,640,640,3351,0
2021-03-17,13:20:00,640,641.5,639.5,639.25,3375,0
2021-03-17,19:59:00,640,641,637.25,637,1433,0
2021-03-17,20:56:00,637.25,638.75,638,637.25,422,0
2021-03-17,21:59:00,638,638.25,638.25,637.25,124,0
2021-03-17,22:58:00,638.25,638.5,637.75,637.75,143,0
2021-03-17,23:58:00,637.75,637.75,636.75,636.5,261,0
2021-03-18,00:59:00,637,638.5,638.25,636.75,249,0
2021-03-18,01:57:00,638.5,639,637.5,637.5,261,0
2021-03-18,02:59:00,637.75,638,636.75,635.75,682,0
2021-03-18,03:59:00,636.75,637.75,634.75,634.5,950,0
2021-03-18,04:58:00,635,636.25,636.25,634.75,533,0
2021-03-18,05:59:00,636,636.5,636.25,635,593,0
2021-03-18,06:59:00,636.25,636.5,635.5,634.75,1205,0
2021-03-18,07:45:00,636,637.25,636.25,635.5,662,0
2021-03-18,08:59:00,635.5,636,634.5,633,4714,0
2021-03-18,09:59:00,634.5,635.75,633.75,632.5,6643,0
2021-03-18,10:59:00,633.75,634.25,632.5,631,5652,0
2021-03-18,11:59:00,632.5,634.5,632.5,632,2617,0
2021-03-18,12:59:00,632.5,634,631.75,631,2777,0
2021-03-18,13:20:00,631.5,632,629,629,5477,0
2021-03-18,19:59:00,629,631,629.25,628.25,1105,0
2021-03-18,20:59:00,629.25,629.5,629.25,628.5,339,0
2021-03-18,21:58:00,629.25,629.25,628,627.25,417,0
2021-03-18,22:59:00,628,628.75,628,627.75,213,0
2021-03-18,23:57:00,628,629.75,629.75,628,221,0
2021-03-19,00:59:00,629.5,630.75,630,629,305,0
2021-03-19,01:59:00,630,632.5,631.5,629,660,0
2021-03-19,02:59:00,631.75,634,634,631.25,1092,0
2021-03-19,03:59:00,634,635.5,633.75,632.25,1176,0
2021-03-19,04:59:00,634,635.5,633.75,633.5,345,0
2021-03-19,05:59:00,633.75,634,632.75,632.5,542,0
2021-03-19,06:59:00,632.75,632.75,629.25,628.5,1001,0
2021-03-19,07:45:00,629.25,630.5,629,628,1270,0
2021-03-19,08:59:00,629,632.5,628.25,628,5327,0
2021-03-19,09:59:00,628.25,628.75,623.5,623.25,10585,0
2021-03-19,10:59:00,623.5,625,624.25,621.75,6214,1
2021-03-19,11:59:00,624.25,629.25,629,624,4819,0
2021-03-19,12:59:00,629,629.5,627.5,626.75,3159,0
2021-03-19,13:20:00,627.5,628.5,626.5,626,3069,0
2021-03-21,19:58:00,627.5,628.75,624.5,624,1316,0
2021-03-21,20:58:00,624.75,625.5,625,623.75,476,0
2021-03-21,21:58:00,624.75,625,624.5,623.75,247,0
2021-03-21,22:59:00,624.75,626.5,625.5,624.25,209,0
2021-03-21,23:59:00,625.25,626.25,626,625.25,158,0
2021-03-22,00:58:00,625.75,626,625.25,624.25,225,0
2021-03-22,01:59:00,625.25,625.75,624.25,624.25,235,0
2021-03-22,02:59:00,624.5,626,624.5,623.75,688,0
2021-03-22,03:59:00,624.5,626.25,624.75,624.25,392,0
2021-03-22,04:59:00,624.75,625,623.5,623.25,301,0
2021-03-22,05:59:00,623.75,624.5,624.25,623.25,313,0
2021-03-22,06:59:00,624.5,625.75,625.75,624.25,488,0
2021-03-22,07:45:00,625.5,625.75,624.5,624.25,455,0
2021-03-22,08:59:00,624.75,626,622.75,621.25,4462,1
2021-03-22,09:59:00,622.75,629.25,628.5,622.25,8363,0
2021-03-22,10:59:00,628.75,630.75,626.25,625.5,4117,0
2021-03-22,11:59:00,626.25,627.75,627.25,625.5,1404,0
2021-03-22,12:59:00,627.25,627.75,627.25,626.5,1676,0
2021-03-22,13:20:00,627.25,629,629,626.25,2533,0
2021-03-22,19:59:00,628,629.25,628.25,627,1148,0
2021-03-22,20:58:00,628,628.25,626.75,626.5,162,0
2021-03-22,21:59:00,626.75,627.25,626.25,626,146,0
2021-03-22,22:58:00,626.25,626.75,626.25,626,103,0
2021-03-22,23:58:00,626.5,628.25,628,626.25,186,0
2021-03-23,00:59:00,628,628,627.75,627,252,0
2021-03-23,01:59:00,627.5,627.75,627.5,626.75,250,0
2021-03-23,02:59:00,627.5,627.75,625.75,625.5,558,0
2021-03-23,03:59:00,626,626.25,624.5,624.5,613,0
2021-03-23,04:59:00,624.75,625.5,623.75,623.75,433,0
2021-03-23,05:59:00,623.75,624.5,624.25,622.5,727,0
2021-03-23,06:59:00,624.25,624.5,623.75,622.75,563,0
2021-03-23,07:45:00,624,624,622.5,622,942,1
2021-03-23,08:59:00,622,634.5,634.5,621,10137,1
2021-03-23,09:59:00,634.5,642.5,640,632.5,17247,0
2021-03-23,10:59:00,640,644.5,640.75,639.75,10430,0
2021-03-23,11:59:00,640.75,641,636,635.25,6166,0
2021-03-23,12:59:00,635.75,636.25,633.75,633.5,3207,0
2021-03-23,13:20:00,633.75,636.5,635,633.5,3506,0
2021-03-23,19:58:00,635,637,636,634,1035,0
2021-03-23,20:59:00,636,636,632.5,632.5,750,0
2021-03-23,21:59:00,632.5,633.25,633,632.5,172,0
2021-03-23,22:47:00,633.25,633.25,633.25,632.5,205,0
2021-03-23,23:56:00,633.25,633.75,633.25,633.25,98,0
2021-03-24,00:59:00,633.25,633.75,631,631,305,0
2021-03-24,01:58:00,631,632.75,632.5,631,265,0
2021-03-24,02:58:00,632.75,633,632.75,632.25,190,1
2021-03-24,03:59:00,632.75,638,636.75,632,599,0
2021-03-24,04:59:00,636.5,638,637.75,636.25,473,0
2021-03-24,05:57:00,637.75,638.75,632.75,632.5,1377,0
2021-03-24,06:59:00,633,633.25,630.75,629.5,1333,0
2021-03-24,07:45:00,630.75,630.75,628.25,628.25,1570,0
2021-03-24,08:59:00,629.75,633.25,629.25,628.25,6513,0
2021-03-24,09:59:00,629.5,629.75,625.5,624,8175,0
2021-03-24,10:59:00,625.5,628,625.75,625.25,3055,0
2021-03-24,11:59:00,626,627.25,625.25,624.75,2527,0
2021-03-24,12:59:00,625.25,627.25,626.25,624.5,3830,0
2021-03-24,13:20:00,626.25,627,624.75,624.25,3067,0
2021-03-24,19:57:00,624.75,625.5,623,622.25,977,0
2021-03-24,20:59:00,623,623.75,622.5,622.25,416,0
2021-03-24,21:59:00,622.5,622.75,621.75,621.75,395,0
2021-03-24,22:57:00,621.75,622,619.75,618.75,1812,0
2021-03-24,23:59:00,619.5,620.75,620.25,619,497,0
2021-03-25,00:59:00,620.25,620.75,620.5,619.25,435,0
2021-03-25,01:59:00,620.75,622.25,621.25,619.75,970,0
2021-03-25,02:59:00,621.25,621.25,619.75,619.5,451,0
2021-03-25,03:59:00,619.75,619.75,618,616.5,2167,0
2021-03-25,04:59:00,618.25,620.25,617.75,617.75,711,0
2021-03-25,05:59:00,617.75,617.75,617.5,616.75,708,0
2021-03-25,06:59:00,617.25,618.75,616.5,616.25,630,0
2021-03-25,07:45:00,616.5,618,616.25,615.5,1215,0
2021-03-25,08:59:00,616.5,616.75,611.75,611,10207,0
2021-03-25,09:59:00,612,613.5,611,609.5,10452,0
2021-03-25,10:59:00,611,614,611.25,609,6165,0
2021-03-25,11:59:00,611.25,615,613,611,3331,0
2021-03-25,12:59:00,613,614,613.25,612,2317,0
2021-03-25,13:20:00,613,614.5,611.25,611,4211,0
2021-03-25,19:59:00,611,612.75,609.5,609.25,1432,0
2021-03-25,20:59:00,609.75,610.25,609.5,608.75,460,0
2021-03-25,21:59:00,609.25,609.25,608.75,608.25,359,0
2021-03-25,22:59:00,608.75,609.75,609.25,608.5,171,0
2021-03-25,23:57:00,609.25,609.5,609.25,609,206,0
2021-03-26,00:59:00,609.25,611,610.75,609,258,0
2021-03-26,01:59:00,610.75,613,612.25,610.5,462,0
2021-03-26,02:58:00,612.25,616,615,611.75,1017,0
2021-03-26,03:59:00,615.25,617.25,614.5,614,778,0
2021-03-26,04:59:00,614.25,614.75,611.75,610.75,792,0
2021-03-26,05:58:00,612,613.5,612,611.5,453,0
2021-03-26,06:59:00,612,613.25,610.75,610,721,0
2021-03-26,07:45:00,610.5,611,610.5,609.5,627,0
2021-03-26,08:59:00,610,613,610.25,608.5,6180,0
2021-03-26,09:59:00,610.25,612,611.75,608.5,4362,1
2021-03-26,10:59:00,611.75,615.75,615.5,610.25,4376,0
2021-03-26,11:59:00,615.5,619,617.5,615.5,5233,0
2021-03-26,12:59:00,617.25,618.75,616,615.5,3069,0
2021-03-26,13:20:00,615.75,616.25,615,612.75,4009,0
2021-03-28,19:59:00,615.75,616,613,612,725,0
2021-03-28,20:59:00,613,613.5,613,611.75,346,0
2021-03-28,21:58:00,613.25,613.75,613.5,613,245,0
2021-03-28,22:59:00,613.5,613.5,612.5,612.25,106,0
2021-03-28,23:44:00,612.5,613,612.5,612.25,67,0
2021-03-29,00:57:00,612.5,612.75,612,611.25,309,0
2021-03-29,01:59:00,612,612,610.75,610.75,133,0
2021-03-29,02:59:00,610.5,613.5,613,610.25,494,0
2021-03-29,03:59:00,613,616.5,615.5,612.5,691,0
2021-03-29,04:59:00,615.5,616,614.5,614.25,527,0
2021-03-29,05:59:00,614.25,614.75,613.5,613,611,0
2021-03-29,06:59:00,613.5,614,612.5,611.5,1002,0
2021-03-29,07:45:00,612.25,612.75,612,611,953,0
2021-03-29,08:59:00,612,613.5,609.75,608.75,4516,0
2021-03-29,09:59:00,609.75,615.5,610.5,607.25,8667,0
2021-03-29,10:59:00,610.25,613.25,612.5,610,1824,0
2021-03-29,11:59:00,612.5,613.75,613.5,611,1898,0
2021-03-29,12:59:00,613.5,615.5,614.75,613.5,2144,0
2021-03-29,13:20:00,614.75,617.75,616.5,614,3817,0
2021-03-29,19:59:00,616.25,616.75,613.75,613.25,733,0
2021-03-29,20:59:00,613.5,613.75,613.75,613,167,0
2021-03-29,21:58:00,613.75,615,614.25,613.75,160,0
2021-03-29,22:57:00,614.25,615.25,615,614.25,141,0
2021-03-29,23:58:00,614.75,614.75,614,614,119,0
2021-03-30,00:58:00,614,614,613.75,613.5,85,0
2021-03-30,01:59:00,613.75,613.75,612,611.5,446,0
2021-03-30,02:59:00,612,612.75,612,611.25,387,0
2021-03-30,03:59:00,612,613.5,612.5,610.5,987,0
2021-03-30,04:59:00,612.5,613.5,612.25,612,457,0
2021-03-30,05:59:00,612.25,613.25,613,612.25,222,0
2021-03-30,06:58:00,613,613.25,612.25,611.5,505,0
2021-03-30,07:45:00,612.25,612.75,611.75,611.5,330,0
2021-03-30,08:59:00,613,615.75,613,610.75,3583,0
2021-03-30,09:59:00,613.25,613.25,602,601.5,11725,0
2021-03-30,10:59:00,602,603.75,602.5,600.75,6952,0
2021-03-30,11:59:00,602.5,605.5,604.25,602.25,3013,0
2021-03-30,12:59:00,604.25,604.5,603,602.25,2137,0
2021-03-30,13:20:00,603,604,600.75,600.5,3729,0
2021-03-30,19:59:00,603.25,603.5,600.75,600.25,800,0
2021-03-30,20:58:00,600.75,601.25,601.25,600.5,188,0
2021-03-30,21:59:00,601.25,602.25,602,601.25,321,0
2021-03-30,22:58:00,602,602,601.5,601.25,147,0
2021-03-30,23:57:00,601.75,601.75,601.5,601.25,74,0
2021-03-31,00:59:00,601.25,602,601.5,601,142,0
2021-03-31,01:59:00,601.5,602.75,602.5,600.75,360,0
2021-03-31,02:59:00,602.5,603,601.75,601,420,0
2021-03-31,03:59:00,602,603.25,602.75,602,504,0
2021-03-31,04:59:00,602.75,604.75,603.5,602.5,757,0
2021-03-31,05:59:00,603.5,604.75,604.25,603.5,824,0
2021-03-31,06:59:00,604.5,605,603.5,603.5,587,0
2021-03-31,07:45:00,603.75,603.75,601.75,601.75,1069,0
2021-03-31,08:59:00,602.25,602.75,596.75,595.25,7398,0
2021-03-31,09:59:00,596.75,599,595.5,593.25,9237,0
2021-03-31,10:59:00,595.5,597.5,595.75,593.5,4872,1
2021-03-31,11:59:00,596,631.75,623.75,595.75,26962,0
2021-03-31,12:59:00,623.5,626.75,621.75,620,6645,0
2021-03-31,13:20:00,621.5,621.75,618.75,615.75,6371,1
2021-03-31,19:59:00,623,624.75,624.5,620.5,3829,0
2021-03-31,20:59:00,624.5,625.25,622.75,622.25,767,0
2021-03-31,21:59:00,622.75,624.25,624,622.75,269,0
2021-03-31,22:59:00,623.75,624.25,624.25,623.25,443,0
2021-03-31,23:59:00,624.25,624.25,622,621,487,0
2021-04-01,00:59:00,622,623,622.75,620.25,807,0
2021-04-01,01:59:00,622.75,625.75,622.75,622.25,1292,0
2021-04-01,02:59:00,623,623.25,622.75,618.75,1166,0
2021-04-01,03:59:00,622.75,623,617.5,616.75,1267,0
2021-04-01,04:59:00,617.25,619,614.25,613.5,1171,0
2021-04-01,05:59:00,614.5,616.25,614.5,612.75,1209,0
2021-04-01,06:59:00,614.25,616.5,615.75,614.25,392,0
2021-04-01,07:45:00,615.5,616.5,615.75,613.5,867,0
2021-04-01,08:59:00,614.25,616.75,609,606.5,9294,0
2021-04-01,09:59:00,609,610,605.5,603,7367,0
2021-04-01,10:59:00,605.25,609,604,604,4489,0
2021-04-01,11:59:00,603.75,605.25,604.75,601.25,6632,1
2021-04-01,12:59:00,605,615,611.25,604.5,6845,0
2021-04-01,13:20:00,611.25,612.5,608.25,607.5,3215,1
2021-04-04,19:59:00,607,612.75,612.5,607,2316,0
2021-04-04,20:57:00,612.25,612.75,611.75,610.5,359,0
2021-04-04,21:59:00,611.5,611.75,609.25,609,488,0
2021-04-04,22:59:00,609.25,610,610,609.25,61,0
2021-04-04,23:56:00,610,610,609.75,609.25,66,0
2021-04-05,00:57:00,609.5,610.5,609.75,609.25,125,0
2021-04-05,01:59:00,610,612,611.25,609.75,204,0
2021-04-05,02:59:00,611,614,613,611,776,0
2021-04-05,03:59:00,612.75,613,611.75,611.25,377,0
2021-04-05,04:59:00,612,614,612.5,611.75,468,0
2021-04-05,05:59:00,612.5,615.25,615.25,612.5,833,0
2021-04-05,06:59:00,615,615.75,613.5,612.75,541,0
2021-04-05,07:45:00,613.5,615.25,613.5,613.25,536,1
2021-04-05,08:59:00,614,625,620.5,613.5,8665,0
2021-04-05,09:59:00,620.5,621.5,615.5,614.5,6024,0
2021-04-05,10:59:00,615.5,618.25,616,614.5,2564,0
2021-04-05,11:59:00,616,620,618.75,615,3525,0
2021-04-05,12:59:00,618.75,618.75,617.25,616.75,2264,0
2021-04-05,13:20:00,617.25,620,618.25,617.25,3097,0
2021-04-05,19:58:00,622,622.25,619,618.5,1013,0
2021-04-05,20:58:00,619,620.75,619.5,619,295,0
2021-04-05,21:58:00,619.5,620.25,619.75,619.25,156,0
2021-04-05,22:58:00,619.75,619.75,618.75,618.75,253,0
2021-04-05,23:56:00,619,619.75,619.75,618.75,66,0
2021-04-06,00:59:00,619.75,620.25,619.75,619.5,226,0
2021-04-06,01:59:00,620,620,617.5,617,478,0
2021-04-06,02:58:00,617.75,618.75,618,617,461,0
2021-04-06,03:59:00,618,618.25,616.25,615.5,591,0
2021-04-06,04:59:00,616.5,618.75,618.25,615.75,783,0
2021-04-06,05:59:00,618.25,618.25,616.25,616,385,1
2021-04-06,06:59:00,616.25,621.75,621.75,616,1209,0
2021-04-06,07:45:00,621.5,622.25,621.25,620,838,1
2021-04-06,08:59:00,620.25,627.25,625.5,620.25,9332,0
2021-04-06,09:59:00,625.5,627.5,621.75,620.75,8778,0
2021-04-06,10:59:00,621.75,622.75,621,618.25,4367,0
2021-04-06,11:59:00,620.75,621,616,615.5,4115,0
2021-04-06,12:59:00,616,616.5,614.25,614.25,3224,0
2021-04-06,13:20:00,614.25,617,616.25,613.75,3542,0
2021-04-06,19:59:00,615,616.5,615,613.75,894,0
2021-04-06,20:59:00,615,616.5,615.5,614.75,344,0
2021-04-06,21:58:00,615.5,616,616,614.75,263,0
2021-04-06,22:58:00,615.75,617.25,616.75,615.75,195,0
2021-04-06,23:53:00,617,617,616.75,616.25,94,0
2021-04-07,00:58:00,616.5,616.5,615.75,615.25,259,0
2021-04-07,01:59:00,616,616.25,615.25,614.5,246,0
2021-04-07,02:59:00,615.5,616,615.75,614.25,242,0
2021-04-07,03:59:00,615.75,616,615.25,614,638,0
2021-04-07,04:59:00,615.25,616.5,615.75,615.25,258,0
2021-04-07,05:59:00,615.5,616.25,615.25,615.25,261,0
2021-04-07,06:59:00,615.25,618,616.5,614.25,841,0
2021-04-07,07:45:00,616.25,617,617,615.25,708,0
2021-04-07,08:59:00,617.25,617.25,612.75,609.75,6495,0
2021-04-07,09:59:00,612.75,617.25,615,611,5697,0
2021-04-07,10:59:00,615.25,619,616.5,613.25,3824,0
2021-04-07,11:59:00,616.5,619.75,617.75,616,3816,0
2021-04-07,12:59:00,617.5,618.25,617.75,616.75,2189,0
2021-04-07,13:20:00,617.75,618,616.75,615.75,2885,0
2021-04-07,19:59:00,618,618.5,617,616.5,433,0
2021-04-07,20:58:00,616.75,617.25,617,616.5,94,0
2021-04-07,21:58:00,617,617.25,617,616.5,102,0
2021-04-07,22:56:00,617.25,617.75,617.75,616,263,0
2021-04-07,23:59:00,617.5,617.75,617.25,617,73,0
2021-04-08,00:58:00,617.25,617.75,617.5,617,135,0
2021-04-08,01:59:00,617.5,619.5,619.5,617.25,630,0
2021-04-08,02:58:00,619.25,619.25,618.75,618,401,0
2021-04-08,03:59:00,619,620.75,620,618.25,460,0
2021-04-08,04:59:00,620.25,622.75,622,620,800,0
2021-04-08,05:59:00,621.75,623.75,623.25,621.5,800,0
2021-04-08,06:59:00,623.25,626,625,623,1010,0
2021-04-08,07:45:00,625.25,625.5,624,623.75,1793,1
2021-04-08,08:59:00,623.25,629.75,628.25,621,6964,0
2021-04-08,09:59:00,628.25,629,626.25,624.25,5955,0
2021-04-08,10:59:00,626,630.5,628,625.25,4360,0
2021-04-08,11:59:00,628.25,631.5,629.25,628.25,3809,0
2021-04-08,12:59:00,629,630.5,629,628.5,2099,0
2021-04-08,13:20:00,628.75,630.25,629,627.5,3554,0
2021-04-08,19:59:00,628.75,629.5,628.25,627.25,966,0
2021-04-08,20:58:00,628,629.25,628.25,628,293,0
2021-04-08,21:59:00,628.5,628.75,628.5,628,126,0
2021-04-08,22:58:00,628.25,629,628.75,628,117,0
2021-04-08,23:51:00,628.75,629.75,629,628.75,84,0
2021-04-09,00:59:00,629,629,627.5,627.25,279,0
2021-04-09,01:59:00,627.25,628,627.5,627.25,134,0
2021-04-09,02:59:00,627.5,630,630,627.25,451,0
2021-04-09,03:59:00,630,631.75,631.75,629.75,540,0
2021-04-09,04:59:00,631.5,633.5,632.5,630,1043,0
2021-04-09,05:59:00,632.5,633.25,632.25,631,532,0
2021-04-09,06:59:00,632.25,633.25,633.25,632,586,0
2021-04-09,07:45:00,633.25,635.5,634.25,633,1081,0
2021-04-09,08:59:00,633,637.5,635.25,633,4324,1
2021-04-09,09:59:00,635.5,644.5,643,633.25,8475,0
2021-04-09,10:59:00,643,645.25,643,642,5743,0
2021-04-09,11:59:00,643,646.5,638.25,635,9800,0
2021-04-09,12:59:00,638.5,640.5,639.25,637,2757,0
2021-04-09,13:20:00,639.25,639.75,639,637.75,3293,0
2021-04-11,19:59:00,642.25,643.25,640.5,639.5,1494,0
2021-04-11,20:59:00,640.25,640.25,638.25,637.75,246,0
2021-04-11,21:59:00,638.25,638.75,637.25,637,237,0
2021-04-11,22:58:00,637.25,637.75,637.25,637,120,0
2021-04-11,23:59:00,637.5,637.75,637.5,637.25,66,0
2021-04-12,00:59:00,637.5,638,636.5,636.5,317,0
2021-04-12,01:58:00,636.5,636.5,635,634.25,695,0
2021-04-12,02:59:00,635.25,636,635.75,634.75,275,0
2021-04-12,03:59:00,635.75,638.5,637,635.75,573,0
2021-04-12,04:59:00,637.25,639.25,635.25,635.25,458,0
2021-04-12,05:59:00,635.5,636.75,635.5,634.75,365,0
2021-04-12,06:59:00,635.75,638.25,637.25,635.75,497,0
2021-04-12,07:45:00,637.75,638,635.75,635,538,0
2021-04-12,08:59:00,634.5,637.25,629.75,627.25,11235,1
